gene_name,HH003_D_SA_S7
AC106038.1,55.0
ZC3H10,206.94299999999998
PHKG1,37.351
RPS4XP10,6.0
AC064807.2,9.0
POPDC2,72.06800000000001
CCDC74A,28.266000000000002
MED27,34.775
AC091979.2,0.0
AC067747.1,7.0
AL590502.1,9.0
AC055811.1,14.0
TTTY20,1.227
AC099796.2,0.0
DUPD1,3.0
AC005498.1,3.0
FKBP1AP4,2.0
AL355990.1,2.0
C10orf82,88.848
AC078814.4,4.0
RPS23,263.486
RPL24P8,1.0
CLIP1,1073.071
NIPA2P5,8.0
AC012497.1,2.0
AC110491.1,28.0
DDX39B-AS1,35.236999999999995
RNU6-139P,1.0
RPL7P8,8.0
LINC01372,22.929000000000002
AC110792.4,11.0
PGGT1BP1,8.299
IFNL4,12.0
HMGN2P26,6.0
MTND6P16,23.0
CYP4V2,244.576
RN7SL602P,101.624
SAPCD1,14.993
AC106820.3,2.0
GLIPR1L1,12.0
METTL25,191.45299999999995
BTF3P15,3.0
IGHD5-12,0.0
AC067863.1,2.0
CLDN19,34.808
CSMD3,480.727
ZEB2-AS1,100.405
AC138089.1,7.011
TSHR,59.0
AC002070.1,9.0
AC010531.2,0.0
AL139125.1,4.0
LINC01493,25.0
FAM210B,1074.1950000000002
BUD13P1,9.0
AC084125.4,0.0
MIR9-3,2.0
RAB9A,39.0
AL513478.2,131.53
AC090311.1,3.0
AC011998.1,0.0
AC254562.2,2.261
LINC01350,17.0
OLR1,213.82000000000002
MIR590,1.0
P2RY4,7.0
ZSCAN5C,10.578
AL121835.1,4.0
MIR346,0.0
PPP4C,93.485
RNU1-86P,1.0
MEX3D,16.0
MIR3689F,0.0
RNU4-31P,4.0
MED1,286.796
RNU4-25P,6.0
UBE2V1P14,3.0
SNAPC5P1,0.0
PCAT5,80.955
PRG2,15.636
AP006248.1,3.0
MARVELD1,36.0
CYCSP34,4.0
REXO1,64.0
KCNIP4-IT1,268.522
RNU6-941P,0.0
RPL21P28,0.0
RNA5SP131,1.0
OR5B21,13.0
RNU6-904P,6.0
NXPE4,20.0
BTG3,41.021
SENP1,217.999
RPL23AP8,2.0
TNFRSF10B,435.147
AC138866.1,39.948
AC024597.1,7.0
THEGL,34.0
RNU6-1330P,2.8489999999999998
AC112653.1,1.0
AC103783.1,1.0
FRG2B,43.825
AC093156.1,10.0
TFR2,77.297
AC099336.1,13.089
C19orf70,68.313
BAK1P2,0.0
NREP,526.289
RNU6-1022P,0.0
AL031601.1,0.0
ZNF416,17.0
AC105129.2,2.0
STK32A,67.325
MYLK2,15.0
AL355526.1,0.0
UBE2V2P2,3.0
AC084149.1,9.022
SMARCD2,95.001
AC104407.1,20.0
TRPM3,238.529
AC005077.2,6.526
LDHD,9.0
AC009159.2,5.0
FO624990.1,0.0
RNU6-373P,1.0
AC102941.1,14.0
C14orf178,33.334
AC008127.2,11.0
GNAI2,490.38599999999997
MDH2,42.0
PPP1R11P1,2.0
SST,6.0
GHRHR,31.999
AC145285.1,53.979
LINC02428,11.0
LINC01167,6.0
AC092638.1,9.0
AK9,354.86699999999996
BNIP3P9,2.0
PHF20L1,1895.6760000000002
AL671277.1,4.788
RPS21P4,4.324
MRPL50P4,2.0
AP003385.1,12.0
RAD51D,572.3800000000001
AL513175.1,9.567
OR4D9,441.569
SLC15A5,37.0
HASPIN,18.162
AC135721.1,5.03
AC011477.2,28.0
RPL17P37,1.0
AC003685.1,1.0
AC117373.1,5.0
AC016747.3,119.04799999999999
CRP,21.0
SPRY4-IT1_1,0.0
AL353684.1,14.0
CTAGE3P,35.118
AC036111.2,9.787
LYZL6,9.0
LINC01692,52.729
IL3RA,81.0
AC093831.1,5.0
ABHD18,388.918
C14orf105,94.83599999999998
NR1H2,101.731
RPS29P1,0.0
AP001117.1,4.0
AC010735.2,8.0
RUVBL1-AS1,2.0
AC025575.1,8.0
AC027796.1,7.0
AC040170.1,3.0
OSCAR,71.777
AC098649.1,5.0
LRRC53,49.0
RPAP3,247.707
TBCE,78.0
AC013714.1,22.615
AP002360.1,352.542
AC019322.1,0.0
AL353807.3,20.649
TMEM202,15.0
AC245100.5,0.0
CIB1,26.0
ATP6V1E1P1,5.0
ENO4,21.767000000000003
NINJ2,39.594
CCND2-AS1,3.0
A2ML1-AS2,10.699000000000002
KRT18P36,3.0
AC093525.6,88.985
SLC5A6,49.146
AC091042.1,8.953
AC007216.3,94.7
MTTP,49.0
KRT80,65.119
MTCO2P34,4.0
NME3,8.0
IGLV7-43,4.0
SLFNL1,15.725999999999999
AC127070.3,317.969
SULT1E1,49.574
AC018709.1,0.0
OR2T4,11.557
NGB,6.0
AC244131.2,37.588
SERP2,19.0
RPS10P5,4.784
SNX18P9,9.103
AC005323.2,10.328999999999999
OR5AP2,13.0
HKDC1,45.686
MTND5P40,2.0
CREBL2,185.0
CYP3A5,1132.0979999999997
AC093909.6,5.932
AC023128.2,12.0
AP003357.1,1.0
AC006116.3,0.0
CARD10,25.226
AC138915.2,1.0
RAB28P5,0.0
NF1P11,4.493
TNRC18P1,36.0
TMEM91,124.74600000000001
SNORD114-9,0.0
GLYATL1,88.545
MIR516A2,1.0
PIK3R1,735.1960000000001
AC073896.3,57.678999999999995
LINC02248,4.0
C2orf69P2,4.0
MORF4L1P6,1.0
IGFL3,20.0
RPL30P5,6.0
FHL5,22.0
DKFZP434K028,8.790000000000001
C1orf43,198.606
UBE2G2,413.369
ZCCHC10,116.67699999999999
TMSB4XP3,3.0
RNU1-140P,1.0
AC068531.1,2.0
PHF21B,46.001
SNORD115-5,0.0
AC091053.2,16.0
UBLCP1,136.266
KIR2DL4,24.134
RNU6-606P,5.033
MIR424,0.0
RPS10,89.65100000000001
GNG10,216.701
AL139041.1,36.052
RPS20P1,9.0
LINC02366,9.0
POTEC,858.211
AL162384.1,0.0
EVA1B,11.996
C4A-AS1,49.2
AC006372.2,1.0
PNPT1P1,40.201
MAGEB16,8.0
OLMALINC,27472.397
DENND1C,96.0
PROX1,143.646
AC000095.1,0.0
AL365259.1,36.829
MUS81,45.977000000000004
DDX18P4,19.0
TUBB8P12,7.099
TMEM92-AS1,13.0
ACTRT3,10.0
ADAM33,70.199
VN1R28P,10.675
AC006028.1,9.0
CYCSP52,3.0
AL645941.2,7.245
KCNQ1OT1_1,0.0
LINC02324,218.21
TNFRSF13B,40.0
IGKV3D-25,3.2460000000000004
SNORA38B,27.0
AC015909.1,27.691999999999997
OR8D4,66.635
KRT18P52,6.827000000000001
RNU1-43P,1.0
PILRA,331.17
MAPK8IP1,12.828
SREBF1,71.00099999999999
MIR6077,1.0
AC013565.1,2.0
OR4L1,9.0
AC009229.1,13.0
AC091544.6,3.0
AC012574.2,5.0
RNU1-42P,2.0
ACO2,91.52600000000001
LINC00685,68.357
AC092597.1,3.285
AL109811.3,38.694
RN7SKP259,3.0
LINC02295,1.0
AL136370.1,21.763
MIR5572,1.0
AL935212.2,0.0
STARD6,30.807000000000002
SHOX,134.557
AL355073.2,26.0
AL390719.2,5.0
MIR4269,1.0
RPS8P6,7.0
MIR139,3.0
COG3,266.774
AC091045.1,30.766
TUBA3C,6.327999999999999
SAR1AP2,9.0
PARD6G-AS1,42.00000000000001
AC091675.1,13.0
AC027702.1,59.601000000000006
METTL7A,487.593
AL451048.1,1.0
CYTH3,58.0
TMIGD3,16.707
HSPB2,4.46
RNU6-303P,4.0
AL132711.1,6.0
AAMP,31.999
AC009518.2,5.0
EIF1,468.2900000000001
RNU4-77P,0.0
MEIS1-AS3,3.0
FTL,1813.0
PRADC1,8.0
OR1A1,2383.775
ELOVL6,137.10399999999998
AC079160.1,92.474
CASS4,187.49099999999999
RPS26,187.774
AC010547.4,13.0
FAM74A4,40.55
AC006924.1,2.0
SSUH2,42.05
LINC02085,41.157
ERVV-1,9.277999999999999
SNORD121A,0.0
AC006213.1,29.592
RN7SKP220,4.0
AP002748.1,0.0
AL356356.1,58.0
AL138889.2,3.0
C7,87.28
TPM1,326.589
RNU6-202P,3.0
HMGB1P1,4.582
IGIP,72.0
OR7E159P,1.0
MIR380,0.0
HLA-DRB6,33.307
AL133399.1,6.0
AC005858.1,10.0
AC091544.5,27.0
IPPKP1,1.0
AC078886.1,14.0
TAS2R43,13.306
UNC119,123.99999999999999
AC009093.1,34.0
AL023806.3,897.8359999999999
TGFB1I1,76.59700000000001
AC239868.1,26.052
CELF2-AS2,21.0
LILRA4,13.543999999999999
SAMSN1,255.0
AC016717.3,204.88099999999997
FAM30B,9.0
ZMYND12,15.999
AC079597.1,8.0
P2RX6,55.518
AP003356.1,25.694
NEUROG1,8.0
AC008794.2,1.0
AC138028.1,55.603
AC005899.6,80.096
OR10J1,87.13399999999999
GAS1,26.0
AC107993.1,40.826
RNU6-1034P,3.0
FREM3,33.0
AMD1,1012.263
AP000962.2,31.959
AC007966.1,11.0
RNA5SP220,1.0
SVBP,45.0
AC010643.1,94.62
AC105052.2,25.854
MIEF1,156.456
HIST1H1E,400.0
AC011632.1,141.633
AL627171.2,13.719999999999999
AC026356.1,35.0
ADORA1,32.851
RPL34,212.715
NAPA,98.18900000000001
SCMH1,80.00099999999999
ZBTB7A,166.0
AC092924.1,8.0
MAD2L1BP,29.168000000000003
PARL,82.16999999999999
ADNP,353.13100000000003
OR5H8,9.245
SHMT1P1,3.0
MAGEF1,22.0
CCDC103,9.0
AL031719.1,11.0
AL589669.1,35.0
OR10A6,221.767
BX842568.4,0.0
BCKDHB,171.995
AC104640.1,17.0
ATP13A5,69.20100000000001
DEFB113,2.0
RPL5P4,12.064
SIPA1L3,193.51400000000004
AP000786.1,25.0
AC087878.1,6.0
AC010641.1,1.0
MIR620,4.0
SCGB1A1,5.0
AC074138.1,21.212
LINC01623,145.85699999999997
AC011120.1,29.0
AC073862.2,5.099
JMJD8,20.819
MIR3617,1.0
SDCBP2,13.314999999999998
ANO6,425.303
SIX4,88.158
AC093227.1,19.282
FRG1,190.99
SLC25A24P1,26.0
EXOSC3P1,6.0
PCDHA4,1379.844
AC068672.2,6.0
AC009754.1,18.0
MIR3920,0.0
OR7E43P,3.185
MALT1,492.22700000000003
AMZ2P2,29.0
CHL1,149.651
AL392023.1,82.19200000000001
IRF1,1090.937
CDY20P,28.976999999999997
AC006148.1,74.03
AC068020.1,23.121
AC109361.2,8.178
LINC01019,13.0
AC012317.2,61.03
AC012368.2,27.0
RBM20,117.016
FAM110A,41.0
TSPY11P,8.309
ST7L,199.072
ALDH7A1P1,14.094000000000001
SPON1,70.0
IFNW1,57.0
SHARPIN,25.0
FARP1-AS1,0.0
AC006146.1,0.0
KRTAP4-6,17.195
PHLPP1,212.878
AC107956.1,3.094
AP2S1,35.0
RPL3P6,54.0
TMEM72,22.0
AC007496.2,73.57
TRAPPC5,318.518
RN7SL181P,10.363
MTERF2,48.689
AC099511.1,10.0
LINC01234,108.393
AL021877.2,260.303
Z98755.1,259.621
MIR6800,0.0
LINC02198,14.0
AL591644.1,4.0
AC109635.3,2.0
RNU6-650P,0.0
AC027279.3,0.0
POC5,109.99900000000001
GID4,236.639
EHD2,108.874
RPS29P31,1.0
CST11,5.0
RN7SL451P,6.6579999999999995
AL355353.1,1.0
MIR30D,3.0
AC000120.1,62.823
AC233702.4,3.0
AC114781.5,0.0
GPC2,190.41299999999998
HOXD12,9.0
RN7SL62P,6.905
FMO5,316.81600000000003
COX6CP6,1.0
AC074019.1,51.443000000000005
GPCPD1,1531.554
LINC01545,15.139000000000001
AC011978.1,25.81
PMS2P5,0.0
MIR487A,0.0
PLRG1,127.001
RNU1-150P,1.0
KIAA1024,73.0
COL5A3,70.0
FAM138C,11.705
PML,222.638
RAB40C,26.0
NKAIN1,20.0
SLC9B1P1,7.7620000000000005
CRISP3,273.885
AL133467.1,11.0
FEZF1-AS1,32.788000000000004
AC018448.2,5.0
AC073869.1,21.052999999999997
CABLES1,54.0
AC026474.1,6.147
MIR1295B,0.0
AP000851.1,15.529000000000002
NDUFB4P2,2.5989999999999998
RAB17,36.756
AC008695.1,0.0
SRP9P1,30.741
MS4A7,430.03099999999995
MKX,39.99999999999999
LAMA4,426.25600000000003
AC007064.1,3.0
IGKV5-2,6.0
AL132655.3,8.0
BMP7-AS1,2.0
AL031118.1,141.558
AC013701.1,3.0
PRR5,91.235
AC137056.2,70.90899999999999
KCNQ5,86.93400000000001
AP006565.1,22.62
H2AFV,238.517
RNU6-544P,2.727
LINC00621,75.932
RND2,88.108
ATP8B3,106.67500000000001
RNA5SP284,3.165
KRT18P13,7.109
AC087516.2,132.59199999999998
E2F6P1,0.0
ST6GAL1,436.17900000000003
AC026956.1,5.0
PGF,78.154
RAI1-AS1,8.0
AL663074.2,4.0
SMG1P7,379.99399999999997
AC060809.1,4.0
MIR1181,0.0
BTNL9,120.838
RNU1-24P,1.0
AL807752.6,0.0
FGF8,7.118
SNORD116-22,0.0
AC105252.1,3.0
EGFEM1P,60.67000000000001
NSA2,125.665
SERPINE2,175.201
CHODL-AS1,15.0
RAB4B-EGLN2,0.0
RPL7AP49,0.0
DEFB107B,21.0
AC027506.1,1.0
AC135050.6,54.178
RNA5SP113,0.0
AP001885.1,159.0
KRBA1,26.0
FAM239A,61.403999999999996
ERRFI1,56.0
AC079226.2,12.0
AL450338.1,4.0
AC090099.3,9.0
LINC01510,5.0
KCNC4-AS1,7.0
AL391219.1,5.166
FAM3A,260.77
AP005131.6,211.985
SIM1,121.497
SPATA31E1,29.0
RNU6-545P,4.0
AC079779.3,35.940000000000005
MAPK1IP1L,591.571
AC105233.5,672.5699999999999
PDE4DIPP1,5.672999999999999
AC005332.10,23.0
AL049536.1,8.0
LMF1,47.143
AC090589.3,9.879
LINC00663,191.043
AC027031.1,1.0
SNRPGP6,2.0
AMD1P2,11.0
TAGLN,39.206
DDX18P6,13.243
Z98883.1,2.95
AC010928.1,24.0
SFRP5,6.0
AP005639.1,3.0
AL133396.2,6.0
AL139100.1,2.153
DEFA7P,2.0
RNA5SP269,0.0
AC245407.2,0.0
NANOGP9,3.103
RN7SL674P,12.405999999999999
RRN3P3,137.541
AC099811.3,6.0
AC009088.2,0.0
RN7SKP261,0.0
RNF6,112.318
MTND4P34,15.0
AL359273.1,11.0
MRPS5,679.383
AC099654.15,12.0
AL139022.2,15.0
AC008569.2,54.595
AP005019.1,8.775
RFTN2,231.967
AC073308.1,2.0
GADD45B,82.0
IL6,12.0
AC090774.2,5.657
SNORD18A,0.8140000000000001
TPRX2P,3.7039999999999997
RNU6-375P,1.0
AC016933.1,42.251000000000005
MIR320E,1.0
VN1R66P,13.0
AC073336.1,10.0
SNRPCP13,7.035
MYMX,3.0
CDC34,71.0
OR52K1,547.482
CNFN,2.0
KRTAP10-11,4.127
AC009452.1,30.385
RNU6-499P,0.0
RSPO4,14.000000000000002
ERBIN,1677.999
SPHK2,74.167
AL022322.2,1600.094
AKIRIN2,215.0
ENSAP1,2.0
AC073916.1,0.0
CDK2AP2P1,0.0
AC084768.1,24.0
STN1,38.001
MT1E,5.0
BOD1P1,3.0
Clostridiales-1,0.0
ADAM18,60.0
MIR548AX,2.0
AC108734.2,2.0
TRIM53CP,17.399
AC026785.2,4.238
AC100800.1,32.0
IL11RA,88.253
VN1R7P,37.095
CSF2,4.0
ZNF830,87.0
C16orf97,29.999
AC012493.2,1.0
LINC01633,19.242
METTL2B,446.256
IAPP,48.983000000000004
AL359091.3,6.006
MIR5088,1.0
CGGBP1,689.0
LINC01501,10.0
PRSS41,9.0
TMA16,129.299
PICALM,3853.999
SLC30A5,226.216
AC007620.1,0.0
GAPDHP74,8.0
RNU6-944P,0.0
PRDM10,142.24099999999999
RNU6-70P,0.0
RPL7P57,18.555999999999997
AL121772.1,169.69
AC083799.1,97.0
AL445435.1,31.0
EXOC7,214.586
LINC00903,1.0
KRT16P5,4.476
RCC2P7,4.0
AC120049.1,60.802
RAP2A,223.955
FAM24B,13.818000000000001
GGTLC5P,4.988
LINC01326,13.0
AC108359.1,10.0
NAP1L3,25.0
OR2C3,153.22
ASCC3,396.30100000000004
GNB3,31.466
AL355483.2,4.0
KCNH8,68.0
NACAP5,1.0
PSAT1P3,8.0
MTND2P19,25.0
LINC00526,8.812999999999999
AC015871.2,11.0
NUP54,151.669
AC126915.1,8.773
HMGB3P4,5.0
ZNF816,57.214
AC127540.1,14.390999999999998
AC117945.2,9.0
MAP2K6,223.777
BX890604.2,3.0
SMARCA2,754.6639999999999
SLC25A15P5,5.631
RPL5P14,11.755
HMGN2P21,7.0
ANKRD18B,205.385
FAM84A,103.744
TCEA1P4,14.0
AC139497.1,4.012
AL583832.1,25.0
CATSPER4,14.0
RNA5SP185,8.0
GAPDHP19,1.0
AC009542.2,27.378999999999998
snoZ196,1.0
AC127381.2,9.978
ZSCAN5B,12.809000000000001
AP3M2,80.00000000000001
HNRNPDLP1,1.0
TAF5,51.0
AC006059.1,26.078000000000003
AC112206.4,2.0
BFSP1,44.858999999999995
CSHL1,12.555
ZNF799,114.494
AC107464.1,11.237
AKAP3,27.0
P3H4,119.294
BX284656.2,1.0
AC046130.2,18.0
ATP6AP1,137.676
AL445363.2,40.749
FCF1P8,1.0
PI16,12.0
AC092647.1,2.0
AL356481.2,196.983
LINC01250,32.118
AC107982.3,20.0
C16orf92,11.894999999999998
AL157955.1,19.523
TMCC1P1,21.0
AC007919.2,1.0
TRAF3IP2,227.82600000000002
AC012462.1,2.0
LINC02005,17.0
AL161725.2,3.0
AL031073.1,0.0
AC079414.1,1.016
RN7SL335P,2.0
TPTE2P4,13.005999999999998
SHANK2-AS1,71.656
LINC01205,346.889
AC009121.1,13.0
RAB26,22.000999999999998
PUM3,61.00100000000001
AC005096.1,29.0
AC108673.2,28.0
FAM71B,10.0
LYPD6B,51.0
ZNF704,156.81
SPI1,632.001
ZNF445,2231.167
AC068760.1,16.337
SLC25A15P4,3.0
DCST2,35.00000000000001
AC090574.1,1.0
BTN1A1,51.0
SCARNA5,249.0
AC105105.5,11.0
IGHV1OR16-3,0.0
AC006037.2,15.0
RPS20P20,13.0
BCL2L2,80.005
TARM1,48.868
CD164L2,12.0
SLC22A2,85.336
RNU1-30P,2.0
RNU6-1309P,9.0
TMEM132C,36.0
CDCA7,51.0
HIST2H2AB,48.123999999999995
SOX5,168.605
LINC00671,57.30800000000001
MIR577,0.0
POLH,173.311
KCNS3,21.0
AC139103.1,10.0
EIF3LP1,17.0
TMEM240,6.0
NT5E,80.0
AC099654.9,10.661
CLEC7A,1901.173
MIR4527HG,36.089
AL445222.1,7.0
LINC02467,14.0
Z82198.2,0.0
AC234772.1,4.0
Six3os1_6,0.0
RASGEF1C,21.0
VDAC1P9,20.0
SAP30,41.558
MIR6845,0.0
IL36B,29.0
AP001318.2,11.123
AC123788.2,1.0
AL391650.2,8.0
HTR1DP1,8.0
SCARNA18,48.927
DGKZ,273.269
AL133245.1,123.06
CLU,266.425
LINC01939,19.954
ISCA1,365.883
AL139082.1,37.0
RNU6-1261P,0.0
TUBA3GP,8.0
AC011816.1,62.0
NFYB,145.368
AC116618.1,25.303
LINC02480,2.0
AC091390.1,4.606
HIST1H2BL,18.479
AL121578.1,13.0
LINC01794,18.033
AC106901.1,9.0
AC233702.7,51.058
FAM26D,20.0
ARNT2,97.899
AL035660.1,0.0
AC016629.3,117.45100000000001
AC137695.1,2.0
KRTAP5-AS1,38.961
ANKRD26P4,8.0
RNA5SP161,2970.74
NBPF5P,15.392999999999999
BGLT3,13.0
ABCC12,62.0
RNU6-266P,5.0
AC087045.1,12.0
AC069222.1,472.02099999999996
MIR99B,2.0
AL080315.1,1.0
MTCO1P20,1.0
MIR1-1,0.0
AL359752.1,185.13299999999998
SLC38A4,47.0
AC068522.1,10.637
RSF1-IT1,28.668000000000003
RBM17P4,16.0
IGKV1D-27,1.7180000000000002
AL662795.1,1.0
CDKN1A,30.0
SCNN1D,17.000000000000004
AC093642.2,89.294
NUTM1,30.0
C4BPB,332.53700000000003
RNU6-282P,1.0
AL109918.1,28.0
AC093157.2,13.0
GIMAP6,176.0
MIR891B,0.0
RBPJP7,14.388
AC020594.1,6.0
AC025437.2,260.172
MTND1P36,16.0
RNU7-179P,3.06
LINC02062,5.0
ZNF35,44.541
RPIAP1,5.0
MIR133A1,0.0
AC013448.2,11.0
PDPR,361.44499999999994
TCF4-AS2,5.0
LINC01422,519.0889999999999
EIF4E2P2,7.0
AL662789.1,27.429000000000002
MIR381HG,1.0
LINC02281,31.99
BATF,21.0
AL139260.3,22.178
ABBA01031674.1,23.485
ITGA2,152.941
RN7SKP29,7.0
AF240627.1,13.0
PLEKHA4,214.76500000000001
AC005692.2,28.578000000000003
AC138951.2,358.616
YIPF3,121.72399999999999
AC133794.1,10.0
RSL24D1,185.32500000000002
MAP3K21,81.0
PROKR1,26.384
NTRK2,178.0
TDRG1,14.0
