gene_name,HH003_R_SA_S9
MRPL12,2.0
GAPDHP74,2.0
AL109614.1,4.0
AC233263.2,0.0
FAM149A,4.0
MIR7150,0.0
RNU6-1203P,0.0
GOLT1B,11.999
HOTAIRM1,6.04
AC119677.1,0.0
GBX1,0.0
BOLA3P1,1.0
NAP1L3,4.0
PHEX,6.055
AC124945.1,0.0
RAB9BP1,2.0
INSL3,1.0
RN7SL423P,3.0
MARK2P17,0.0
MRTO4,8.156
SLC9C2,5.0
SCARB1,16.794
AL121985.3,0.0
LINC01100,0.0
RNU5F-2P,0.0
ABCB4,17.0
MED14P1,0.0
AC130360.2,12.530999999999999
AC022133.1,0.0
AC008972.2,0.0
UCK2,2.0
AC244196.2,0.0
PPIA,40.802
AC020763.3,1.0
AL355482.2,0.0
UGT2B26P,2.0
AL662884.1,9.256
BNIP3P36,0.0
CDH26,3.0
DPP10-AS2,0.0
NDUFS1,81.182
AL450346.1,0.0
CD248,1.0
AC026362.2,19.872
EEF1DP6,3.0
KMT2E,92.822
GRIK2,10.014
AC114501.1,0.0
SPRR2F,0.0
AC105029.1,0.0
FAM76B,14.0
AL138960.1,0.0
TRAV29DV5,0.0
AC005498.3,1.0
snoU109,0.0
MIR3138,0.0
MIR3135A,5.0
BOLA2P3,0.0
ZNF418,7.0
AC117460.1,2.0
AP000864.1,1.0
SRPK1,52.58
USP17L6P,0.0
AL021877.1,1.0
C5orf42,54.56
AC137936.1,2.6710000000000003
APIP,16.089
MIR6732,0.0
CASR,77.09899999999999
LINC00908,110.524
TCP11X1,0.5
RNU7-73P,2.0
AC020904.2,1.109
AKR1C8P,0.0
BEX1,0.0
LINC01035,2.405
AC117392.1,2.0
NPPA,1.0
AC116348.4,4.596
AP005212.4,2.0
AC104339.1,0.0
PSME2,4.0
AP000692.1,9.413
CRLS1,37.415
LINC00313,0.0
AKR1C1,11.0
AF186996.5,1.205
RNA5SP33,0.0
DLG5-AS1,10.432
ABCA13,46.873
FOXN3P1,0.0
PYGM,3.825
FAM71F2,49.56
BMP15,0.0
CNGB1,12.141
LAMP2,81.114
RPL5P16,0.0
CLSTN2-AS1,4.0
OFCC1,13.597
RPS7P2,0.0
KLF8,50.602000000000004
PPIP5K2,171.475
SIRT1,26.0
AF146191.1,0.0
SMCR2_1,0.0
PTPA,4.928
AL355816.1,0.0
AL163152.1,0.0
MICE,2.0
EEF1GP8,1.0
AC022418.1,0.0
RNU4-83P,0.0
RNU5F-6P,0.0
CYP46A1,84.146
C3orf38,7.0
GORASP1,10.0
LGALS16,1.0
MIR6765,0.0
RNU6-1278P,0.0
STIP1,6.879
LINC01984,0.0
MTNR1A,0.0
RPS26P40,0.0
AC007603.2,1.0
OR6C6,5.734
TRIM25,88.999
ALKAL1,0.0
AC114322.1,0.0
KRTAP9-3,0.0
AC009159.1,0.0
AL031729.1,6.465
IGHV4-28,0.0
RNU6-154P,0.0
AJ239322.2,0.0
AL132656.1,0.0
GLRB,2.0
ENDOD1,16.0
AC007922.2,3.153
AC018639.1,0.0
AL133457.1,4.0
RNA5SP279,0.0
CTSS,305.94899999999996
AL606489.1,0.0
DUXAP10,33.152
AC055753.1,0.0
AC136944.3,4.964
AC007952.6,3.5
CSF2RBP1,0.0
AP000354.1,0.0
TAZ,4.0
HNRNPA1P48,4.856
RN7SKP184,0.0
AP003774.3,13.091
Vax2os1_3,0.0
AC013269.1,0.0
AC104389.1,5.0
FAM227B,25.269
CIB1,1.0
AC026254.4,1.439
CCL11,0.0
MIR29B2,0.0
RNU6-1122P,0.0
GSTA11P,0.0
OR10J7P,4.0
AC138932.1,3.003
AC091564.4,1.0
OLFML2B,3.0
RNY4P37,0.0
UBE2L4,0.0
MIR339,0.0
SNORD114-3,0.0
TPRA1,5.068
AP001267.1,3.0
AC137527.1,2.0
KRTAP19-8,0.0
TMA7,17.535
EEF1A1P32,0.0
C1QTNF9B,3.0
AC080128.1,6.0
AC091488.1,0.0
LINC02501,1.0
AL158032.2,0.0
CICP8,0.0
AC136624.1,0.0
AC135983.3,0.0
YEATS2-AS1,6.140000000000001
AL163636.2,0.0
SNORA108,0.0
MIR141,0.0
AC117430.1,0.0
AC114744.1,0.0
SRGAP2B,53.126999999999995
AC022382.1,2.0
MIR517A,0.0
USP17L12,0.0
C9orf153,5.0
AL390067.1,1.0
AL592182.3,13.0
TMEM154,259.58
PTCHD4,9.361
RCE1,4.0
AC090403.1,11.000000000000002
CHODL-AS1,0.0
TLDC2,1.0
CAMK1,2.035
AC078993.1,0.0
CA4,9.0
RPS29P31,0.0
SIX1,3.0
NELFE,9.0
ANGEL1,7.64
AC007953.1,1.0
FAM229A,4.0
FRA10AC1,50.336999999999996
RNA5SP350,0.0
AC096582.2,2.0
AC009102.1,1.0
SNHG6,7.999999999999999
AL357673.2,8.0
AC068313.1,1.0
AC069213.3,1.0
AF228730.6,0.0
AC083864.3,1.0
E2F8,5.171
AL049829.3,4.737
TDRD9,9.0
LINC02145,5.527
AC092612.1,2.0
PMVK,1.0
KIAA0895L,5.066000000000001
MTCO1P29,0.0
ARL1,12.97
AC026774.2,2.0
LINC01853,1.0
TUBD1,25.454
HOXA4,1.0
RNU6-179P,0.0
FAM229B,2.07
GDE1,19.999999999999996
AC015563.1,6.706
GSX2,0.0
FAM225B,12.0
B4GALT1,37.065
AP002370.1,1.0
KRT18P8,0.0
AC012491.1,2.0
AL359878.1,9.175
AL162274.2,0.0
MAPKAPK3,18.0
POLR3D,14.632
BDNF,12.0
ELP4,77.383
C21orf91,29.0
SLX1B-SULT1A4,13.745
AC104170.1,2.0
ALDOB,4.0
FP671120.3,20436.353
NHEG1,7.035
AC011753.2,13.0
AL121988.1,1.0
RN7SL386P,0.0
AC002428.1,3.0
HBZP1,0.0
STOX1,1.0
CPNE2,10.261999999999999
RNA5SP477,0.0
RPS3AP4,2.0
DCAF15,2.0
RNMTL1P1,0.0
SNORD44,0.0
COL5A1,8.0
OR2H1,3.0
DENND1A,40.25299999999999
GOLGA6L3,0.0
AL137789.1,0.0
PTPN2P1,0.0
RPL10,49.518
AC243961.1,3.0
AL158047.1,0.0
RASL12,0.0
AC004988.1,1.12
RN7SL22P,0.0
RN7SL838P,2.0
AC023389.2,2.0
AC211486.2,3.0
AC009509.2,2.0
NGDN,8.0
DEPDC1,11.383
CTDSPL,4.0
MTND6P4,4.317
RNU6-1113P,1.0
AC016595.1,1.0
LINC01343,4.0
LINC02033,1.0
ZFP64,15.442999999999998
AC096743.1,0.0
AC008629.2,0.0
ELFN1,1.0
RAB6C,0.0
RCBTB1,15.0
PVALB,1.0
AC018682.2,0.0
RNY4P24,1.0
AC027763.2,2.0
SLC35F5,52.650999999999996
LINC01787,12.324000000000002
GPAA1,9.0
AC025263.2,0.0
FBN3,3.0
RNA5SP233,0.0
MIR661,0.0
MIR3672,0.0
LINC01546,0.0
MIR7978,0.0
VTI1BP3,0.0
AC010105.1,1.0
EFNA2,0.0
SDCBP2P1,0.0
IQCM,43.693000000000005
AC100803.3,4.327
ADGRB3,11.0
AC008676.1,1.237
EPM2AIP1,24.0
AC022028.1,0.0
CT55,3.0
AC093157.2,1.0
OR8V1P,0.0
RPL17P3,1.0
TSG101,17.531
NBPF14,45.57600000000001
AP005901.3,3.0
AL355102.2,1.0
ADCY7,32.06399999999999
LINC01564,0.0
AC242852.1,0.0
LINC01794,2.0
MIR3143,0.0
MIR4699,0.0
SNORA63,189.957
GPR89P,0.0
C11orf97,0.0
LENG1,0.0
PRR7-AS1,1.0
AC117382.2,3.0
HLA-DOB,4.0
B3GALT2,2.0
MIR4458HG,3.0
WDSUB1,2.0
AL591623.2,0.0
AC090193.2,2.0
RPL21P8,4.0
TBC1D29,10.0
TRIM56,60.015
SNORD113-6,0.0
NXF2B,0.0
AC087885.1,3.753
MDH1,7.246
OR2V1,3.177
GALP,3.0
CRIP1P1,0.0
AC143336.1,0.0
HOTAIR_3,0.0
PGBD4P8,0.0
AC074029.4,2.0
RNU6-395P,0.0
MIR8485,2.895
ZNF823,2.0
AL358072.1,6.0
ESR1,16.0
AL356131.1,0.0
AC124319.4,18.916
FAM8A6P,0.0
AL139098.1,1.0
AC106820.5,3.0
PKD1P6,11.020999999999999
OR52D1,2.0
AL451085.1,0.0
MIR4291,0.0
AC087379.2,0.0
LMBR1L,22.363
AC007448.3,0.0
AL121917.1,4.0
C5orf60,14.706
AC007560.1,0.0
TMEM110,0.0
AC037471.1,4.0
RNU6-834P,0.0
ABCC3,22.65
AL392172.1,10.0
POTEM,8.808000000000002
AC026271.3,0.0
RNVU1-7,53936.097
CDX1,1.0
LINC02443,2.0
PABPC1P10,0.0
ITGA1,39.626
AL096712.1,0.0
REP15,2.0
ZNF618,8.058
AC010319.4,3.0
AC091117.1,0.0
ERVV-2,1.163
MIR4791,0.0
MIR1273G,2.56
TIGD6,6.172000000000001
AC004853.1,1.0
AL161781.1,0.0
LINC00927,3.226
AC092069.1,0.0
AL355297.2,0.0
PNLIPRP2,2.0
TIGD4,3.0
METTL5,2.229
AL049779.3,1.0
AP005210.1,3.0
AC018755.3,1.0
AC114814.3,0.0
AHCYP8,0.0
ABRAXAS1,35.57
AC008385.1,0.0
CCDC9,17.956
AC112484.5,0.0
NMD3P1,0.0
RNU6-85P,0.0
COL27A1,17.049
AL139353.3,1.0
CACNG5,0.0
HDAC8,6.33
LINC02403,0.0
INAFM2,6.0
SERPINB1,35.62
USP17L2,17.096
AC004923.1,0.0
AC007485.2,2.0
AL121882.1,0.0
AC007563.3,0.0
AC103808.5,0.0
SLCO4A1,1.0
AC061975.8,0.0
AL353771.1,0.0
VIPAS39,6.0
GREB1L,8.0
AC021860.1,0.0
ZBTB7B,12.0
OR4K15,2.0
ARHGAP23P1,2.75
AC078883.3,1.0
mascRNA-menRNA,0.0
DCAKD,6.0
LINC02030,2.0
AC084876.1,0.0
SCGN,0.0
TTTY22,0.0
SUSD2P2,0.0
BMP3,5.143
EPS8L3,5.0
AL356512.1,2.0
UACA,14.632
NCOA4P3,1.0
AL161651.1,0.0
HMGB1P4,1.0659999999999998
GIPC1,2.0
AC004134.1,0.0
AC100868.1,0.0
AC010329.5,3.424
AC114491.1,0.0
AL445223.1,2.0
MIR30D,0.0
AC133065.2,3.0
AL035410.1,0.0
MCOLN1,17.799999999999997
CCDC30,85.298
AL035071.1,9.0
AC132807.1,0.0
AC026316.2,1.0
RNU6-309P,0.0
IKZF1,74.28600000000002
NEDD1,9.0
HMGN1P38,0.0
RNA5SP216,0.0
MIR1285-2,1.0
AC122138.1,0.0
TMEM167B,28.987
AC138207.1,0.0
SRP19,20.997999999999998
TRAJ53,0.0
COX7A2,11.0
LSM3P3,0.0
AC022092.1,0.0
RN7SL346P,0.0
KLF3P1,0.0
LINC02236,0.0
AC073593.1,0.0
EPOP,2.0
LINC02560,0.0
AL135790.2,0.0
RGS11,4.5
VTRNA1-1,206.0
LINC00871,8.298000000000002
AC136944.4,3.477
AC025183.3,0.0
AC009296.1,0.0
ALG8,13.008
OR6C4,11.26
AC090371.2,7.0
PLAC9P1,1.0
RN7SL292P,0.0
KIAA1755,5.031000000000001
TUBA3GP,0.0
AC093392.1,12.832
TMEM167AP1,0.0
AOAH,51.0
LINC01354,2.0
AL512310.2,0.0
AC099789.1,0.0
AC007422.2,0.0
FXR1,82.13499999999999
AC008496.2,1.0
RNU6-979P,0.0
SNAP25,7.0
METTL21AP1,1.0
OR8L1P,1.0
MTND1P16,0.0
AMIGO2,5.0
YWHAB,39.0
AC245028.3,0.0
MYB,10.117999999999999
AP000620.1,0.0
PSPHP1,1.0
AC073941.2,2.0
S100A14,1.0
AC007342.5,8.0
AL445309.1,2.0
FAM157C,59.955
ARID3A,25.581000000000003
TNFAIP8L1,34.566
LINC01096,0.0
AC100810.3,5.0
KRT1,151.0
AP001858.1,0.0
AP001961.1,2.0
SNRPGP12,0.0
RN7SL178P,9.0
CCL17,0.0
CHRAC1,0.0
MTMR6,24.006
AC108693.1,0.0
DCAF13,29.244999999999997
MIR4536-1,0.0
OR1S2,0.0
PNLIP,5.0
EXOC5,61.786
NDP-AS1,0.0
SPATA41,5.0
AC104211.3,0.0
AL590632.1,0.0
MIR5571,0.0
AL161670.2,1.69
AL353705.2,0.0
PRKAR2B,38.0
MTOR-AS1,0.0
RPS11,32.007
AC109329.2,0.0
LAP3,10.0
RNU6-190P,1.0
RPSAP40,0.0
RAP1A,50.019
AC104629.2,0.0
C1orf146,5.102
AC046176.1,1.179
AC015771.1,2.0
NEDD4L,31.439999999999998
BNIP3P33,0.0
AC109630.1,0.0
PLA2G12AP1,0.0
JPX,144.74699999999999
COG3,33.144999999999996
AC108206.1,2.0
AL356488.1,0.0
AL365434.2,0.0
PRKX-AS1,0.0
AC062029.1,6.0
HYMAI,7.0
ALKBH4,11.970999999999998
CC2D1B,19.0
XIRP1,4.0
AC008393.1,1.0
FRY-AS1,2.451
AL162391.1,8.181000000000001
AL050402.1,0.0
AL359715.4,3.0
AC138517.1,2.0
ADORA2A,4.0
Z99497.2,0.0
AC010183.1,0.0
AC109454.2,0.0
GPR151,3.0
AC023968.2,1.016
AP001784.1,2.327
ZNF322P1,0.0
MIR6744,0.0
XRCC1,5.0
PLEKHJ1,23.165
NUFIP1,12.719000000000001
AL157791.2,0.0
AC112211.1,2.0
A4GNT,0.0
IKBIP,28.099
ELOF1,17.153
AC026347.1,0.0
AC027045.3,6.14
DQX1,3.0
AC040926.1,0.0
IFNWP5,0.0
DISC2,0.0
ZNF165,0.0
C2orf69P4,0.0
LINC01881,4.01
AF067845.2,0.0
AC026412.2,1.9969999999999999
AC016831.1,33.475
AC006160.1,2.0
ANKRD20A2,7.337
RNU4-34P,0.0
AC108868.2,0.0
MIR4528,0.0
SPACA4,1.0
AL132640.2,2.04
LINC01662,14.494000000000002
NAPG,76.609
AL691482.3,0.0
LINC02026,1.0
OR7E154P,0.0
AL133387.2,9.147
RPL21P39,0.0
MIR1283-2,0.0
AP001099.1,13.0
AC105383.1,10.748999999999999
DSCR8,2.0
AL590762.1,1.0
MRAP2,0.0
NOTUM,1.0
ZNF528-AS1,42.285000000000004
RN7SL191P,0.0
AC006455.4,1.004
EPS15,70.91
ARHGAP30,42.0
Z82214.2,0.0
IGFL1P1,0.0
RNU6-608P,0.0
AC023090.1,2.0
BX119904.2,3.0
RHOH,29.851999999999997
GNLY,9.0
AC023595.1,0.0
AL353748.1,1.0
LINC00507,24.913
NANOS3,2.0
AL365259.1,5.491
AC022034.2,2.0
RNU6ATAC15P,0.0
AC099343.1,0.0
RNU6-933P,1.0
SCARNA18,46.774
AC006148.2,0.0
AC084819.1,0.0
MIR3158-1,0.0
DPH2,4.0
RIMS1,13.001
RN7SKP108,2.0
SPATA13,37.331
RBMY2YP,0.0
RNU6-502P,0.0
5S_rRNA,85.262
AL589642.2,46.425
C7orf26,3.0
CABP4,5.41
AP000977.1,7.017
CACNA2D2,1.0
AC020904.3,0.0
F8A2,0.0
ZNF402P,0.0
FP236240.3,0.0
RPL7L1P3,0.0
NDST2,10.0
OR13D2P,0.0
EPHA1-AS1,17.282
AC012182.1,0.0
SYPL1,14.999
CLDN2,0.0
RSPH10B,17.604
LARS2-AS1,0.0
AC117382.1,3.0
IL9RP2,0.0
AC018692.3,0.0
FGFR3P5,0.0
AL121657.1,0.0
NACA3P,0.0
AF238378.1,0.0
DEFB103B,1.0
AP003351.1,0.0
LCA5L,6.0
TSC1,36.062000000000005
RAB27B,27.0
AC036108.3,3.0
MTND5P2,2.0
GRAMD4P2,0.0
SUSD4,2.0
AC113420.1,2.0
RNU6-533P,0.0
RNU6-135P,0.0
AGR2,3.0
NEAT1,17911.47
AC134349.2,3.0
OVCA2,0.0
AL031599.1,0.0
SUCLG2P4,1.555
AL391597.1,3.409
OR6M3P,0.0
SMCR2_2,0.0
RNU6-726P,0.0
LINC01179,2.22
AL133393.1,0.0
RSU1,34.315
AL162726.2,0.0
SLC20A1,28.001
RN7SL518P,2.0
AC079781.3,0.0
AC093392.2,2.07
MIR4675,0.0
PCDHGA1,2.0
AC105999.1,0.0
YWHAH,11.0
AC148477.7,0.0
CHGB,9.917000000000002
RNU6-203P,0.0
CA12,9.055
CHP2,61.483999999999995
LINC00677,0.0
SHARPIN,11.0
MIF,0.0
OSBPL9P2,0.0
AL450346.2,0.0
ALS2CL,9.132
HBE1,0.0
AC110079.2,16.0
AC010468.3,0.0
PCDHGB7,8.0
AL512649.1,1.0
AC009238.3,0.0
FLT1,20.857
PELP1,18.957
PGAP3,2.0
AP002512.3,0.0
SNRPCP3,1.0
AC106785.4,2.0
AC092120.3,1.0
HIGD1AP1,1.4169999999999998
AC009139.2,0.0
LINC01460,3.148
AC073648.1,0.0
DYNLT3P1,0.0
IL36B,1.0
PRDX5,101.0
AC087721.1,1.0
ZSCAN4,1.0
RNU7-48P,0.0
AL133264.2,0.0
LSM14A,71.095
RNU6-200P,0.0
AL355310.1,0.0
AC022028.2,3.0
AL162231.2,6.395
FTH1P9,0.0
DUSP1,32.0
BTBD7,21.284
SLC6A1-AS1,1.0
AC091925.1,0.0
AC132872.3,0.0
FAM155A,11.002
TRAV12-1,0.0
UBL4A,0.0
RNU6-1013P,0.0
AL365356.2,0.0
TIMM8BP2,1.815
LRPAP1,28.45
RPL23AP49,2.116
SMG1P3,56.836
TP53I13,4.0
AC008474.1,0.0
ACA64,1.0
GHRLOS,4.0
CCR12P,0.0
CCDC124,10.016
AC090833.1,16.97
TMSB15B,12.83
TRDJ3,0.0
AC022118.1,0.0
AL137025.1,0.0
GP5,4.172
AC005261.4,0.0
CBX2,4.0
IGLV3-9,0.0
CDC42P1,2.0
DPP9-AS1,0.0
MAGI2-AS1,0.0
MICALL1,6.141
AP003064.1,0.0
CRIP1P3,0.0
BDNF-AS,6.07
ST3GAL2,73.402
GAPDHP76,1.0
AL031577.2,0.0
AC010531.5,3.9960000000000004
THSD7A,10.0
KRT18P34,0.0
AC097358.1,0.0
PGBD2,61.742000000000004
PHBP8,1.0
LINC00460,4.0
G2E3-AS1,3.5900000000000003
AC006335.2,3.0
CHMP1B2P,8.427999999999999
AC006487.2,0.0
AL137782.1,12.347999999999999
USP9YP20,1.0
TRAPPC2P7,0.0
GRM7-AS2,4.0
LINC01024,24.0
HIGD1AP4,0.0
AC021546.1,0.0
AC068339.1,0.0
AC008737.3,3.062
TMSB10P2,0.0
CCDC93,16.0
LRRC24,0.0
PHF2,6.0
AC012100.3,2.3209999999999997
AC027176.3,4.5569999999999995
AP003174.1,3.3510000000000004
NDRG4,8.016
AC068205.2,12.398
RCVRN,4.0
ZNF271P,18.285
ZNF160,16.244999999999997
AC017076.1,10.969000000000001
AC104116.1,0.0
SLC25A51P1,1.0
IFNA14,0.0
AC139099.1,5.859
HRH4,21.956
AC013268.1,0.0
OR4R2P,0.0
UBAC2-AS1,2.0
MEG8_1,0.0
AC108673.1,1.0
AC084121.4,0.0
PRKAG2-AS1,1.0
AC068408.1,0.0
TTC17,34.0
ST7L,12.006999999999998
SNORA40B,15.161
ZNHIT1P1,0.0
LRRC4C,6.0
LRRC3-AS1,1.0
RB1CC1,51.001000000000005
SALL4P7,1.0
AKR1C4,2.0
MIR4440,0.0
AC007685.1,0.0
FCMR,5.0
AL109618.3,0.0
AL356095.2,1.0
AP001636.2,6.0
IGHV3-74,2.395
SCART1,39.031
AC012158.2,0.0
ZNF497,1.002
AL031846.2,8.868
AC097375.1,0.0
ZFY,13.0
RN7SL57P,1.511
AC125613.1,1.0
AC009268.2,3.0
RNA5SP497,1.0
AC073413.2,0.0
AC011389.3,3.0
RNA5SP388,5.0
AC092634.6,0.0
AC092376.2,1.0
MIR526B,0.0
NIP7,12.572000000000001
ARSJ,6.0
AC078942.1,0.0
AC026410.1,0.0
RN7SL100P,0.0
SNX5P1,1.0
GSN,22.449
RNU6-826P,2.0
AC079362.1,1.0
AC110009.1,2.0
LZTS1-AS1,0.0
AF111169.2,0.0
RPL21P66,0.0
VPS37C,10.0
NR2F1-AS1,10.162
MAD2L1,7.546
AC138207.6,9.0
OR10Q1,0.0
RPL15P3,10.45
AL136309.3,1.0
AC084026.1,2.0
RN7SKP176,2.843
GNL3,7.0
OR2H2,6.0
BBS1,8.764
AC008555.3,0.0
AC010642.1,4.0
AC078938.1,0.0
PCDHGA10,2.0
EHHADH,16.116
FOXD4L5,51.864
LINC02399,1.0
EIF6,6.0
ZC4H2,2.0
AC111152.2,1.0
MAGEA5,2.0
NMRK1,11.0
TRAV11,1.0
AC007608.1,8.095
WTAP,27.001
AL356095.1,0.0
AL513343.1,2.0
AL732372.3,0.0
AC100802.1,5.0
AL139353.1,15.439
SNX33,9.0
SMYD3-IT1,6.973
ATP6V1B1-AS1,0.0
AC013714.1,1.0
MIR221,0.0
FXNP1,0.0
