gene_name,HH003_K_SA_S8
AC107068.1,22.0
AC073257.1,17.0
MYADM,147.416
AC026461.4,0.0
RNU6-645P,0.0
NKIRAS2,55.084
AC007673.1,8.0
PGC,7.999999999999999
BECN2,0.0
MIR7110,0.0
H2AFY2,4.0
SV2C,29.162000000000003
FP565260.2,0.0
FOLR1,1.0
VN1R2,6.119
THEMIS,17.369999999999997
LINC01953,1.0
DLEC1P1,0.0
GRM8,19.0
ST7-OT3_3,0.9309999999999999
MYC,7.999999999999999
AL162171.3,16.928
ORC6,545.452
AC244196.3,2.0
SBK2,1.0
IL22RA1,3.0
AL355922.5,4.0
AC021683.3,48.757000000000005
EFNA2,0.0
AC084757.3,6.0
TIMM50,128.085
LINC01251,2.0
AL357936.1,1.0
AC008753.1,1.0
ESR1,41.998999999999995
SPCS2P3,2.0
RNU6-117P,0.0
MIR4490,0.0
AF238378.1,0.0
AP004608.1,35.065
HLA-DQB1-AS1,2.0
OR5B19P,0.0
MIR5088,1.0
RIPPLY3,17.054000000000002
AC095030.1,3.0
AC007326.1,0.0
BX571673.1,1.0
UBE2G1,50.004999999999995
BBOX1,1.0
RCN1P2,0.0
KRTAP4-16,30.943
AC012512.1,3.0
AC007608.2,3.0
AC244669.1,38.229000000000006
PCNAP4,0.0
RRP12,79.227
AL023775.1,1.02
AC011676.1,0.0
AC124276.2,0.0
LLPH-AS1,0.0
AC003070.1,1.0
LINC01982,0.0
MIR6720,0.0
SNAP23P1,2.0
TIPARP,22.0
AL157414.2,3.0
C1orf64,18.939
AL137779.1,11.952
AC008739.5,25.715
LINC01717,1.0
ARL2BPP5,4.0
BECN1P2,6.0
FSCB,10.0
DBX1,0.0
UTS2,2.0
LINC02344,0.0
GAPT,32.0
SNORD121A,1.0
AC020704.1,0.0
AC107982.1,0.0
SRD5A3-AS1,59.28300000000001
ASAH2B,20.891
BVES,41.937
ZNF646P1,1.0
AC046130.1,6.0
AC020978.9,4.07
OR8K4P,3.0
IGKV1D-39,1.196
PPP2R2C,61.593999999999994
AL137779.3,8.0
SLC7A5P2,0.0
BACH1-AS1,37.095
AC239799.2,35.580999999999996
Z98949.1,24.0
SP2-AS1,13.618
RPS29P15,0.0
RPL21P38,0.0
VPS37B,57.25
RNU7-107P,0.0
AC113404.1,6.0
MTND3P7,0.0
THAP12P7,3.7539999999999996
AL121723.1,4.0
KRTAP5-9,4.0
LINC01948,10.0
SNRPEP8,10.0
RNU6-114P,0.0
PKN2,141.84300000000002
AC104985.3,1.0
AD000864.1,26.761
AC087276.2,9.902999999999999
SKOR1,16.0
OR6C72P,2.0
AC026790.1,50.841
AC073367.1,5.0
AC025750.2,0.0
MORC1,30.0
AC007687.1,3.0
AC024132.3,2.0
FLRT2,285.01099999999997
KRT4,7.0
A2ML1-AS1,1.0
PPIF,36.001000000000005
HAT1,87.099
TRAPPC3L,184.76500000000001
C1orf94,3.0
ALG10,22.848
AC073534.2,9.0
WT1-AS_1,0.0
MIS18BP1,76.928
AC092868.1,2.0
AC090607.5,2.0
PCDHB10,5.587000000000001
AC016556.1,5.0
ACSM1,8.0
RNU6-1104P,1.002
DDHD1,425.137
ABCA7,116.99799999999999
LSP1P2,1.0
DIRC3,13.0
ZNF32-AS3,4.0
LINC01923,39.361000000000004
MIR4699,0.0
AL390760.1,0.0
CCNYL2,42.645999999999994
AL596276.1,0.0
RPL7P21,0.0
MAG,1.0
GTF2F2P1,0.0
LSM7,22.261000000000003
AGBL4-IT1,2.0
PALD1,9.0
SLC39A11,21.603
AL445933.2,0.0
AC004112.1,0.0
AP001033.2,13.0
ITCH-AS1,3.577
AC079880.1,5.06
SMIM5,22.634
WDR37,45.301
METTL15,84.358
RNU6-291P,1.0
KRT18P65,1.0
BAD,5.0
AL035461.1,1.0
OR7E25P,65.102
NIPA2P5,0.0
UBE3C,87.782
AC020658.7,9.0
TPP2,61.257999999999996
AL135999.2,10.854000000000001
Mico1,0.0
TMPRSS9,10.0
EHBP1L1,126.99999999999999
OR3A3,43.073
AF121898.1,43.596000000000004
AC103851.1,1.0
RNU6-601P,0.0
SLFN12L,204.613
CARD9,10.0
AL590556.1,0.0
APOC3,4.0
AC034187.1,16.475
EXT1,19.493
WNT1,0.0
SLC7A6,50.824
C3orf70,35.754
AL121820.2,1.0
CSE1L-AS1,4.3420000000000005
GTF2IP13,103.904
NBPF19,143.402
PLPPR1,14.0
AC009407.1,7.516
P2RY1,19.0
RPL15P3,0.0
AC105235.1,6.026
YY1P1,9.0
LINC01880,1.0
NSUN5P2,0.0
ZNRD1,16.0
ANKRD26P4,3.0
AC108174.1,1.0
RNU6-1103P,0.0
AC016712.1,0.0
LATS2-AS1,4.0
AL445647.1,16.0
AC020922.4,0.0
AL590385.2,0.0
AC211433.1,87.011
AP000446.1,236.477
AC082651.2,0.0
AC007326.5,231.088
AC007285.2,3.0
RNA5SP268,2.0
AC027575.4,1.0
AGK,26.0
AC012254.4,0.0
MIR526B,0.0
NOL7,10.0
AC107398.2,0.0
JARID2,72.0
AL590240.1,0.0
AC006058.2,2.0
WT1-AS_8,0.0
MIR526A2,0.0
PACSIN2,63.747
EIF4A1P11,0.0
HRASLS,1.0
STK17A,59.0
PWRN4,0.0
LINC00844,2.0
LINC02181,10.0
AL592078.1,0.0
LRRC8B,38.677
FER1L5,44.122
PSMC1P6,10.0
AC008539.1,2.0
C15orf56,3.0
SLC9A3P3,1.0
AC023043.1,4.0
AC010998.2,2.763
RNU6-659P,6.0
RNU6-879P,0.0
AL606970.2,1.0
AGTRAP,54.0
RNU6-699P,0.0
CYCSP4,0.0
AL133268.4,6.0
PLCXD2,39.104
MT-TL1,79.0
AL020997.2,0.0
KLRC4,6.376
TMEM254,8.998999999999999
VIM2P,5.0
ZFAND6,109.469
IGLV2-14,4.0
GTF3AP2,0.0
RNA5SP228,0.0
AC010542.4,12.18
AC010105.1,1.0
AL138808.1,0.0
AC013270.1,1.0
AL121895.1,12.84
AC007568.1,0.0
AC106795.5,6.0
OR8K3,5.0
TRAV5,2.0
OR4X2,1.0
AC010306.1,4.046
DUX4L51,1.0
PTPRA,51.714000000000006
TAF6,25.021
ASPM,25.999999999999996
UNC93B5,1.0
RPL7AP72,0.0
MIR103B2,0.0
LINC02063,1.0
GAMTP2,0.0
NARF,124.396
AP001350.2,17.07
MARK3,245.708
IGHVII-67-1,0.0
LINC00863,32.016
ZNF654,48.0
RPL7P15,5.356
AC011933.4,0.0
MIR4649,0.0
BNIP2,146.195
RBM6,96.117
TSHZ3,12.0
OFD1P6Y,0.0
MSH3,34.175
ENKUR,18.0
CHIA,21.0
IGKV2-36,0.0
LINC02086,7.068
Z98885.1,0.0
AC013472.3,1.0
CECR9,1.0
PAGE2B,2.0
SNRPB2,14.884
PDLIM4,1.0
SNORD98,0.0
MIR141,0.0
AC108032.1,0.0
AC004943.2,472.0
FAM89B,12.963
AC233702.10,0.0
OR6K3,12.017999999999999
AC092070.2,71.886
MTND6P15,9.0
AL132780.3,8.353
ISCA1P6,0.0
AC092316.1,13.979000000000001
CNMD,1.0
AC145676.1,4.0
AC005281.1,1.0
AC002075.2,0.0
AL136226.1,0.0
AC104010.1,0.0
AC136475.6,0.0
ARID5A,24.0
AC087277.1,0.0
AC124248.1,0.0
MIR6774,0.0
AC012038.2,1.0
AC128688.2,11.0
MTCYBP6,1.0
AL161645.1,4.0
CWC15,9.0
AC079456.1,5.0
ATG10-AS1,1.0
AC008993.2,15.724
PCBP1,94.0
PRKDC,139.16899999999998
AC012640.5,0.0
AC121764.3,0.0
AC034105.5,0.0
AC018413.1,4.0
LINC01132,12.0
AC233724.10,0.0
ACTC1,26.0
PRSS23,157.075
ADCYAP1,7.164000000000001
RNU6-792P,0.0
RNU6-1285P,0.0
RBM22,25.0
C7orf43,33.0
ZNF285B,1.069
MRM2,17.066
ACTG1P10,0.0
BFSP2,4.0
AC098679.4,3.0
AC008429.1,18.93
RORC,32.885
TSPY19P,3.0
TSPY14P,1.0
TSPY7P,0.0
PCDHB8,4.708
MIR6512,0.0
RNU7-157P,0.0
AC242852.1,0.0
AC097372.5,1.0
RN7SL684P,1.0
AC022498.1,0.0
RAET1M,0.0
PHYKPL,75.162
SLC2A1-AS1,53.304
AC008543.3,2.0
LGR4,28.0
AC112204.2,0.0
CHURC1,178.79500000000002
PLCB1,102.513
PTMAP2,1.2590000000000001
AC026333.3,6.0
AC025287.2,25.0
ELK3,62.871
ZDHHC8P1,16.074
AL022328.4,2.0
AC092801.1,2.0
ASH2LP3,3.0
MAGEA11,2.0
RFC3P1,3.0
SNORD107,1.9140000000000001
NPM1P21,2.0140000000000002
IL10RB-AS1,16.238
LRRC70,8.575
DAZAP2P1,0.0
AL024497.2,5.0
AC018980.1,5.0
TIMM9P1,0.0
FERMT3,65.0
AACS,165.272
REXO1L1P,1714.159
CCL18,1.0
AC093655.2,1.0
ATP5LP5,0.0
SLC39A12,11.0
AC004217.2,0.0
FAM90A15P,0.0
AC006441.2,0.0
FSIP1,17.0
AC104964.2,45.244
HMSD,2.4539999999999997
AC079331.1,15.015
MPP3,10.0
TMEM19,57.559
MTND4P21,7.0
AL450992.1,36.971
RNF43,34.96300000000001
AC112497.1,2.0
RNA5SP452,1.0
IFNA2,6.0
NPC1,102.014
CERS5,131.148
AF186996.8,0.0
AL391863.2,3.0
TCEAL8,5.0
ZEB2,317.263
AC023141.2,2.0
TBC1D3,0.0
PCAT18,12.838
DAPK3,12.0
CYP3A54P,0.0
AC015524.1,0.0
BNIP3P9,0.0
CICP23,12.610999999999999
AC090809.1,4.016
CDY2B,0.0
AL139098.1,1.0
AC087289.1,1.0
FMO7P,5.0
LINC01079,5.0
SEPHS2,26.0
PSMC6,107.386
AC083841.4,3.0
KRT80,17.0
AC012409.2,6.0
SLC22A8,21.0
AP004242.1,0.0
TUBA1A,72.253
SF3B6,9.0
AHCYL2,25.514
AC113331.1,5.0
AC132217.1,0.0
ACP2,11.0
OR4Q3,6.415
AL035685.1,9.0
PIAS2,145.01
ERVMER61-1,44.0
AL512782.1,2.0
AL157702.2,4.0
RNA5SP175,1.0
OGFOD2,5.452
KCNAB1-AS1,3.0
HSPBAP1,50.253
SPRED3,27.439999999999998
PANX1,7.0
TMEM9B,20.0
MIR135A2,0.0
FAM66E,21.235
TPX2,14.470999999999998
SNORA41,36.927
SYNPO2L,43.512
AC245014.3,35.742
RNASE1,5.0
HOXB-AS3,5.0
AC005587.1,0.0
PRRG3,56.403999999999996
AC097173.2,0.0
RNA5SP256,1.005
HMGB1P41,3.0
AC007608.4,22.896
AC005307.1,7.0
AC019322.4,8004.953
RASSF10,6.0
KRT81,0.0
LRMDA,37.007000000000005
PCBP1-AS1,344.52000000000004
AC008134.1,0.0
SERTAD4,14.0
KRTAP12-2,0.0
PHF5A,13.0
ANTXRLP1,0.0
AC073359.1,6.0
NOTCH2P1,1.0
AC108099.1,40.383
AC025171.2,6.0009999999999994
TREHP1,0.0
FANCC,35.150999999999996
PRPF38B,98.0
AC018450.1,2.0
CBFB,29.0
RNU7-127P,1.0
TRIM51,12.582999999999998
AL049796.1,22.0
TUNAR,21.245
TRAPPC2P4,1.0
AC025437.6,2.0
VPS50,62.681000000000004
AP001973.1,1.0
SLC15A1,17.445999999999998
RPS3P2,0.0
AC127496.7,14.652999999999999
RN7SL134P,14.087
RPL34P3,1.0
CXorf58,5.0
AL109933.4,0.0
GBA3,4.0
PUM3,8.0
AL356274.1,0.0
TRBV7-1,0.0
KRT8P23,0.0
ZRSR2,19.844
DCAF12,852.0000000000001
TUBBP11,0.0
RN7SL703P,3.293
CMPK1,89.001
ARFGEF1,98.48
GABPA,53.986000000000004
TRBV23OR9-2,2.0
EPO,0.0
AC011474.2,2.0
RN7SL464P,3.06
ZNF614,19.241
AC018641.1,4.0
CNTN2,86.082
PLAUR,68.38300000000001
AC012555.1,0.0
RN7SL608P,10.535
AC004784.1,21.0
RNU6-611P,0.0
RASD2,3.0
TRIM66,62.864
AC011825.4,1.0
AC107308.1,2.0
PIEZO1,54.404
KRT8P28,0.0
ABHD5,68.23100000000001
AC009506.1,14.0
ACOT8,20.999
MIR3977,0.0
DENND6A-AS1,1.0
MIR126,0.0
AC022819.1,37.702
TP53TG5,1.0
LINC01210,4.0
RPL7AP25,2.0
NDUFA5P3,0.0
RIPPLY1,0.0
AC066613.1,2.0
MIR181D,0.0
SNORA35B,0.0
AJ006995.1,12.863
BMPER,26.429
EGF,24.0
NOC2L,43.862
ATP13A4-AS1,5.0
KIF21A,42.001
MIR3065,0.0
AC027796.3,14.789000000000001
AC009041.4,2.0
CFHR4,6.494
RPL23AP48,2.0
AC103858.2,0.0
RPS27P27,1.0
RNU7-149P,1.0
MIR3160-1,0.0
SNORA68B,0.0
AL645608.5,12.719000000000001
RPS6KA2,19.0
RNU7-54P,0.0
RN7SKP247,3.0
AC018861.1,1.0
TRAJ9,0.0
AC012513.3,21.0
MTF1,84.517
AC092471.1,1.0
RNU6-793P,0.0
RNU7-19P,0.0
AC009117.2,0.0
AC018926.1,1.0
MED15P1,0.0
SPDYE15P,4.027
CTTNBP2NL,48.903
ECI1,4.0
AC107626.1,0.0
AC008498.1,1.0
ZFAND1,33.001000000000005
AL050341.2,5.0
GJD3,0.0
AL355340.1,1.0
AL117379.1,9.0
TTC27,30.0
AC010595.1,3.7110000000000003
WBP1LP8,0.0
RNU6-326P,1.0
AL591242.1,2.0
AC245748.2,3.318
GPR89A,81.29
RNU6ATAC24P,1.0
GRIN1,5.0
RPS17,37.760000000000005
RN7SL363P,8.234
GLYAT,13.0
RN7SKP287,2.0
AP000552.1,86.15700000000001
MIR451B,0.0
AC010980.1,35.163
TFAP2A-AS1,6.0
LCE2C,0.0
AC022893.2,33.335
YPEL5,49.0
AC100810.2,1.0
KCTD20,77.38000000000001
APOD,6.04
MIR4750,0.0
AC006148.2,0.0
AC113554.2,10.552
AC096861.1,2.0
SNORD67,181.0
GRK6P1,5.113
LINC01950,6.018000000000001
CLDN34,1.0
LINC01007,3.0
RN7SKP47,0.0
AP001005.1,1.0
AL049765.1,2.0
OXLD1,3.0
OR5AR1,1.0
LINC02306,2.0
AL078604.3,1.0
ARHGAP18,16.0
AC134511.1,0.0
DAAM2,43.271
C17orf102,23.712
B9D2,5.0
ESPL1,36.92700000000001
C5orf15,20.0
ASB12,4.0
TRMT61B,8.0
RIT2,16.0
AL133516.1,1.0
AC132825.7,0.0
AC034105.1,5.65
CFHR5,8.0
SNRPB,9.0
FAM229A,7.0
AL606490.9,0.0
AC113608.2,1.0
C10orf111,7.982
OLFML3,13.0
IGHD2-2,0.0
ARHGEF39,31.494
AC087473.1,7191.334000000001
CPED1,26.601000000000003
AC078950.1,7.001
UBE2Q2P6,0.0
AL807752.7,0.0
AC073476.1,0.0
KANK3,15.967
HTR6,4.0
UBE2M,17.0
NEK1,70.56599999999999
MIR6877,0.0
C2orf74,15.889000000000001
AC092185.1,0.0
AC022447.7,1.0
AL139022.1,8.0
MIR4480,0.0
AC084116.3,2.0
CR383656.14,86.935
AC005019.1,0.0
SLC1A7,7.0
FAM181A,5.0
BCAT1,59.318999999999996
AL136295.7,223.293
AC109361.1,25.0
AC015969.1,12.517000000000001
SEC1P,9.402000000000001
OR13C7,0.0
KIAA0355,84.703
FAAP100,4.001
CD34,30.666
ATP6V0C,76.0
AC011447.6,39.071999999999996
Z82198.3,1.0
ZNF540,21.461000000000002
NTRK3-AS1,8.0
LINC01015,5.0
SCARNA8,154.0
UBE2W,240.504
RNU6-417P,0.0
COX6B1P1,0.0
LINC02440,5.0
PMPCA,38.892
PABPC1P10,0.0
AL138720.1,9.0
AL021453.1,8.241
CCDC78,0.0
AC134879.2,0.0
DDX3P1,4.0
AL606662.1,2.0
CDH4,18.096
PPTC7,71.0
TIAM1,38.645999999999994
AL352984.1,1.0
PTCD3,92.32400000000001
ZGPAT,23.979
AC018462.2,0.0
RNU4ATAC15P,1.0
GPRIN3,66.023
AL033504.1,6.0
RAD51AP1,13.0
RFPL4A,2.557
LINC01419,4.03
BGLAP,0.0
TEX38,0.0
OR2X1P,2.0
EIF4A1P13,0.0
AC136932.1,2.0
BX284632.2,0.0
LINC00908,184.642
RNA5SP111,1.0
SNORD49B,5.404
AP001628.2,5.0
LINC00704,12.0
AC100793.1,0.0
DNASE1L1,10.0
CFL1P3,1.0
PEX19,18.999
AP4E1,69.366
AL024509.1,9.0
DES,4.0
RN7SKP53,2.0
GALNT10,63.43
RPS16P5,2.0
PTPRC,726.317
MAPKAPK5-AS1,11.536
SNRPEP6,1.0
RNU6-30P,2.004
AC004869.2,0.0
SLAIN2,41.0
ACTG1P18,2.0
PABPC1P2,3.0
AL162727.1,3.0
AC004687.1,33.213
MIR548A1HG,5.0
CLPX,79.22000000000001
AC007387.1,0.0
PDCD10,38.0
AF106564.1,4.0
Z99714.1,2.0
IER3IP1,45.446
FAM98C,112.474
AC018809.2,31.881
RNA5SP270,0.0
AC002398.2,3.0
SECISBP2,101.846
AL445647.2,0.0
U62317.1,0.0
Hammerhead_HH9,0.0
AC021146.4,0.0
AC024597.1,2.0
PCBD1,2.0
AL139237.1,0.0
OR8F1P,2.0
SETD7,103.97800000000001
PMS2P10,0.0
AC019185.1,2.0
ITGA9-AS1,70.278
PROS1,61.666000000000004
AL627230.6,0.0
HSFX4,0.0
OMA1,51.540000000000006
AL133384.2,30.0
UBL5,65.102
AC104986.2,2.0
AL359878.2,0.0
ALMS1P1,9.0
RAP1BP2,4.0
MIR660,0.0
AL451081.1,0.0
RNU6-308P,0.0
EIF1AXP2,2.0
AC087741.2,0.0
BMS1P2,45.268
AC239859.1,2.235
JRKL,40.0
AL121809.2,4.0
HCG15,12.839
ACTBP13,4.3389999999999995
ATP6V1B1,6.0
AL133320.1,36.23
ETS2,54.0
TAF9BP2,1.0
RNU6-907P,0.0
TECTA,21.0
CLPTM1,31.000000000000004
RNU6-1089P,0.0
IFNWP18,2.0
AC233724.2,1.0
TBPL1,42.45100000000001
AC114730.3,0.0
ONECUT3,37.482
SARNP,49.754
HMGB1P36,0.0
AL353611.2,5.0
AC006466.1,0.0
ADCY9,36.548
RNF216,46.88400000000001
MIR4730,0.0
AC125616.1,9.099
SNORD44,1.0
AC015912.2,0.0
KIF3A,50.535999999999994
PTCSC2,1.0
TRPC7,7.0
AC073109.1,4.0
AC084346.2,1.0
AC012442.2,3.0
MMP14,12.0
COX6CP11,0.0
PWRN1,34.788000000000004
SAR1AP2,0.0
PEX11G,7.0
PLEKHG4B,47.854
BCAS2P1,2.0
CSNK2B,31.468000000000004
AC073593.1,0.0
AC084782.2,5.0
CCL17,0.0
MTCO3P28,4.0
IGHD1OR15-1A,0.0
RNU6-897P,0.0
RN7SKP156,2.0
GAN,101.397
RNU6-566P,1.0
IPP,24.508000000000003
RN7SL190P,9.871
AC099677.3,0.0
CA5BP1,3.3680000000000003
IGHD1-1,0.0
PIGC,22.0
DEFB125,5.0
LINC01381,6.122999999999999
AL928742.1,3.0
ZNF776,61.232
AL031658.1,13.297
AC115621.1,2.0
AC069542.2,3.177
LACRT,4.0
MRPS5,147.803
CD84,73.444
NPPB,2.0
RC3H1-IT1,33.021
OR8D4,21.954000000000004
AL139423.1,27.0
AC005606.2,1.0
SIGLEC6,4.0
ETFDH,51.018
AC092059.1,4.0
AL353572.3,2.0
MIR583,1.0
JMJD8,3.0
PTENP1,19.12
AL662860.1,0.0
MIR3916,0.0
LINC01603,4.0
KLHL4,6.0
CRK,58.915
AC114954.1,8.706
RBM4B,9.99
MFSD10,6.000000000000001
DDX39B-AS1,7.975
AC091965.2,2.0
AL365259.1,18.087
AC105446.1,11.970999999999998
ITGAD,6.011
MAGI2,148.452
SEPT14,149.309
DLX2,1.0
FTLP15,1.0
AC113355.1,0.0
JTB,16.0
RN7SL663P,1.0
NCOA5,12.0
AC087430.1,37.244
CDC20,6.0
PSD2-AS1,1.0
AF131215.1,0.0
AL049780.1,0.0
LINC01658,3.0
AC008662.1,1.0
CXorf40B,2.0
MNS1,16.009
DEFB109B,0.0
UBL7,18.0
AL079352.1,5.369
AC002075.1,3.0
AC107613.1,5.0
AP002345.1,1.0
DCPS,5.0
SNORA20B,0.0
AC109583.2,0.0
RN7SKP28,0.0
PCNPP5,7.047999999999999
CABLES1,40.0
SERPINI1,12.0
RNU6-666P,0.0
IGKV2OR2-1,0.0
AP005901.3,10.0
ECEL1P3,1.0
AC092574.2,2.0
AC022616.1,0.0
AC011474.3,1.0
LINC02069,12.661
MDC1-AS1,0.0
AC007237.1,0.0
ALDH1A1,9.001000000000001
ANKRD13D,177.91500000000002
TAS2R39,1.0
AC105313.1,3.0
ALG1L6P,1.0
AC007349.2,2.0
AC093775.1,8.0
AC084064.1,0.0
CR769776.1,2.116
DENND1A,93.075
AL021393.1,3.1189999999999998
AC138028.3,0.0
AC011445.2,4.0
REG3A,7.0
AC021016.3,2.0
ANXA7,24.0
TRIM16,25.151000000000003
AC091044.1,1.0
MRPS35P3,3.0
CALR,32.924
TRBV2,0.0
CD63,41.00000000000001
OR6K5P,0.0
AP000654.1,41.103
ZBED9,20.0
LAPTM4A,50.99999999999999
LINC00326,12.0
MIR4435-2HG,56.018
CCDC106,0.0
AC010735.1,7.0
AF186192.3,4.0
CCDC189,13.0
CBS,15.338000000000001
PCIF1,14.0
AC007619.1,1.0
AC100826.1,2.0
AQP10,2.0
AP000402.1,2.0
AC112498.1,0.0
C3orf38,30.0
CUX1,98.94200000000001
OR10J6P,0.0
RNU6-1006P,0.0
AC008750.4,1.0
BRAP,54.101
AC025884.3,0.0
NPIPB10P,0.0
LINC00893,18.977
RN7SL187P,8.0
PMS2P9,5.056
LINC00403,0.0
SERPINB13,17.0
LINC01899,2.0
METTL11B,5.0
AC126615.1,0.0
AC019130.1,1.0
RN7SKP34,0.0
MIR4283-1,0.0
CSNK1A1L,1.0
RPL13A,125.46400000000001
SPRYD4,85.882
AC253536.2,0.0
AC110716.2,56.211000000000006
PLS3,16.652
GOLGA6L10,46.295
PRDX3P2,0.0
RN7SL623P,7.147
TIFAB,11.0
AC084125.1,0.0
CRABP2,1.0
MIR4500,0.0
AC100827.5,0.0
SNORD115-46,2.0
ZNF474,0.0
RNU6-985P,0.0
MMP20,6.0
AL365184.1,0.0
AC012360.3,21.0
AC020658.1,0.0
OR1D4,8.383
SNHG10,9.749
AC087685.1,2.0
NEU3,64.66600000000001
INF2,28.445
AL355377.2,62.725
BX842568.2,0.0
AC141257.3,9.0
TTC28,47.30500000000001
NEUROD4,8.0
AC092865.1,0.0
BNIP3P16,4.0
DGCR6,8.100999999999999
TMPRSS11GP,4.0
CD164L2,7.0
IGHV3-35,2.144
MARCH2,63.419999999999995
FAM96AP1,1.0
CUTC,16.0
CFAP36,42.0
MIR497HG,12.0
MIR1203,0.0
AL356417.1,2.0
AC005695.3,0.0
AC092757.1,3.0
PEBP1P3,0.0
CLDN25,0.0
RELA,28.0
LRRC37A3,146.359
RNU6-1304P,0.0
NAALADL2,64.72999999999999
AP003117.2,1.0
RN7SL228P,4.0
NDE1P2,15.392999999999999
BRD3,47.001
AC135983.1,8.801
GPR50-AS1,1.0
ZNF209P,10.18
RNA5SP415,0.0
MIOXP1,1.0
LENG8,81.0
TFPI,746.8559999999999
NUDT11,8.0
SPATA46,2.0
RSF1,166.198
LRRC37A,48.74100000000001
MCM3,22.0
AC112777.1,0.0
AC002347.2,0.0
LRRC75B,10.0
AC087632.1,4.7620000000000005
CLINT1,52.363
AC068418.1,0.0
AC010761.4,0.0
FUT3,45.541
SYTL2,62.467
FXYD5,22.0
MIR133B,2.0
AC010487.4,0.0
SLCO4C1,58.0
MROH5,2.0
MT-TS1,57.0
VIL1,18.304
AC138356.2,2.0
DPH2,3.0
AC009310.1,2.0
RN7SL454P,5.4670000000000005
HSPB7,6.0
PIK3CD-AS2,10.0
LINC02564,13.532
SERPINH1P1,0.0
AP001102.1,1.0
GRK5,36.0
AC023669.2,1.0
AC127070.2,4.0
PRG3,7.0
AL590542.1,4.0
C9orf85,47.449999999999996
AC127502.3,0.0
RPL5P7,3.0
AC092803.1,0.0
AC018755.4,3.0
LBP,2.0
LCN2,2.0
NCL,62.534000000000006
BRD8,35.056
SGSH,40.021
C5orf17,73.819
AC233968.1,19.462
FO393401.2,1.0
FENDRR,19.744
CXCR2,243.018
AL589743.7,0.0
AC007952.8,6.0
AC011447.3,361.01500000000004
RHOH,46.859
AC079054.1,1.0
AL023584.2,218.06599999999997
KRTAP10-11,1.0
RNY4P34,0.0
AC007598.3,4.468999999999999
CU639417.4,0.0
VWFP1,0.0
SNORA2C,88.0
