gene_name,HH001_B3_SA_S3
RN7SL150P,2.344
AL360268.1,12.0
AP000347.1,993.5219999999999
KCNU1,10.0
AC092865.4,2.3609999999999998
FIRRE,183.788
RNU4-41P,0.0
DIS3,1341.331
LINC00392,2.0
RPS10P7,601.066
KPNA3,223.0
AC069257.3,0.0
PCBP2,4846.007
DPH1,407.69399999999996
AC022568.1,16.409000000000002
AC098965.1,3.0
FBLN1,204.21399999999997
MIR6782,0.0
AC096642.1,152.972
STARD13-IT1,1.0
EPHA1,176.864
AC006120.1,3.053
AL646090.1,3.0
TSPAN8,12.0
TARBP2,53.00000000000001
HOXB-AS2,5.0
AC068042.1,3.015
OR4F2P,0.0
AC090602.1,1.045
KRTAP10-10,2.0
RN7SL720P,7.047000000000001
OR4C45,5.0
RPL21P50,0.0
RPL10P13,0.0
SNORD88C,103.882
AC037459.2,170.578
UBA3,1666.346
RN7SL832P,221.601
PAK2,4386.463
ADGRF3,61.963
KLHL15,307.464
AL669818.1,58.137
GPR149,9.0
OR2A5,380.858
AC012254.3,59.123999999999995
AC027176.1,0.0
SUN5,6.0
ZNF407,570.999
ZNF830,80.0
AC107398.2,23.116999999999997
ZNF595,307.21000000000004
AC010442.2,2.0
AC005242.1,0.0
TCP11L2,5183.781
AL022310.1,187.358
SMC1A,512.0010000000001
AC145207.2,0.0
AL161912.3,0.0
IL23R,64.943
AL390838.1,213.263
SLC35A3,2287.0789999999997
CCDC88A,947.231
NRAS,845.762
AL451165.2,42.956
RNU7-171P,0.0
AL354872.1,5.024
AC140504.1,43.696999999999996
KRBA2,131.987
SGCZ,12.0
ZNF347,795.257
AC133485.6,107.194
AC009320.1,1.0
AC010907.1,0.0
LFNG,249.001
GUSBP9,69.945
CNGA3,12.0
FAM193B,327.23
AL359752.1,395.27099999999996
ATP2A3,500.943
ZMYM3,96.964
CD8B,94.0
KRT32,1.0
RPL12P46,0.0
MEX3B,20.0
AC112191.2,44.751000000000005
FRMD4B,518.316
TTTY8B,12.876000000000001
KCNMB1,546.158
AL353572.3,2.0
AC079760.2,7.159
OR51B5,2.0
ZNF578,92.867
AC106795.3,0.0
MIR3195,0.0
AP000523.1,4.6419999999999995
SLC25A6P6,1.0
LINC01786,48.515
PGM1,231.38299999999998
TMEM182,3357.1990000000005
DAW1,84.61500000000001
DUTP5,1.0
AL355607.2,27.0
AC016825.1,0.0
OGFOD1P1,20.0
CENPIP1,3.0
AL354696.2,525.991
AL049839.2,6.8260000000000005
AC098848.1,42.178000000000004
AL121885.1,5.0
RNU6-407P,9.0
ZNF335,252.07199999999997
RN7SL589P,31.980999999999998
MIR4255,0.0
LINC01697,572.4689999999999
MYL6P2,1.0
PTPN1,797.6669999999999
AC104561.2,4.224
EXOC2,258.0
AL049544.1,0.0
AC087664.1,1.0
TRAV29DV5,1.0
DCAF13P1,5.153
AL355297.4,20.526999999999997
RDH16,514.8290000000001
AC092953.1,116.64
COL22A1,25.000000000000004
RNU1-22P,7.0
AL080276.1,0.0
AC005014.2,15.0
DBIL5P2,56.93300000000001
SDHAP1,350.15599999999995
AC018980.1,1.0
AC125494.1,16.0
LINC02294,6.0
AC009108.3,24.0
USP17L18,0.0
OR13C2,1.304
SOX2OT_exon1,0.0
STAG3L5P,821.598
AC004858.1,20.0
AC015911.4,23.456
MGP,141.62400000000002
LINC00492,2.0
AL589987.1,1.0
H6PD,1466.966
DNM1,318.4780000000001
SLC6A4,158.882
FAM3C2,0.0
TTTY3B,7.0
AC107304.1,2.0
USP46,244.50000000000003
CEP170,1505.463
AC063943.3,2.0
MIR382,0.0
WDR19,439.31999999999994
AL591885.1,11.0
MMP8,2177.0
RNU6-244P,4.596
FAM86KP,1.0070000000000001
RNU6-985P,0.0
CFTRP1,0.0
AC002350.2,269.969
Six3os1_2,3.0
NME9,79.575
VTI1BP4,2.0
RPL34P27,1.001
AC007098.1,1.0
AC009133.6,0.0
RNU6-850P,11.0
LEUTX,4.0
RNU6-246P,0.0
RAD51AP2,17.0
HNRNPA1P16,7.017
AC090589.2,1.0
AC010168.2,1680.405
CROCCP5,3.0
HTRA2,267.552
KNL1,548.6709999999999
AC022966.1,15.0
IFIT5,428.0
C5orf66,695.2190000000002
RPL19P16,2.012
MIR3122,0.0
SYT8,8.021
AL031429.1,82.7
AC124067.2,4.0
MAJIN,4.0
AC087699.1,1.0
F9,6.0
CLDN18,152.632
WNT2,3.0
AL121757.2,0.0
LINC02550,7.0
HIST1H2BG,358.79400000000004
COX6B1,578.0
SSR2,1838.46
BX664608.1,0.0
SPINK5,18.0
AP003471.1,37.951
ZFAND6P1,0.0
AL162456.1,180.953
AC009053.1,728.787
GOLGA8M,62.193000000000005
ADAP2,359.604
SNF8,686.2760000000001
Z92544.1,2.0
AGBL1,112.59299999999999
RNU7-92P,0.0
AC009005.1,94.583
C5orf58,376.968
PKD1L2,577.547
RARA-AS1,175.88099999999997
AL353997.5,0.0
AC004692.2,2.0
SLC2A13,208.79899999999998
E2F5,344.207
PSMA1,588.0
RNA5SP446,0.0
HES2,262.35900000000004
AC245052.3,68.365
UNC93B3,0.0
AC005344.1,0.0
ACTN1-AS1,12.0
SNORA80C,10.449000000000002
TCP10L,6.2860000000000005
OR52I2,36.0
SNORA70G,67.0
RN7SL483P,32.634
MIR3928,2.0
ABHD14B,64.0
BCO1,10.033999999999999
SAMD9,1626.9999999999998
NOL3,54.146
AC020978.1,79.0
TSPY1,6.909
AC003685.2,0.0
AC092957.1,4.36
RBM10,164.82600000000002
AC026348.1,11.0
AC020890.1,18.062
AP000473.2,7.0
PCDH11X,130.68699999999998
MIR3179-1,0.0
CDC5L,1930.852
RNU6-450P,132.0
AP001889.1,2.031
MIR3134,8.0
AC055720.1,1.0
TRAJ60,0.0
AC010336.3,8.107000000000001
NCOA6,1148.898
DGKB,113.27899999999998
RNU6-475P,0.0
ABCC3,324.696
KRT18P48,2.0
MCF2L-AS1,0.0
RPS15AP12,11.584000000000001
RGPD5,1224.5
TXLNG,181.985
AL645933.1,22.0
PTPRR,17.000000000000004
AL360268.2,19.004
TNK2-AS1,53.321000000000005
AC011196.1,2.0
AC087343.1,7.18
KRT127P,0.0
TRAT1,164.00099999999998
IRX1P1,3.0
AC125603.2,6.585
UBE2J2,440.057
MYO3B,201.932
OR6M2P,41.0
IL31RA,39.36
AC015720.2,0.0
ST13P4,0.0
CHCHD3,123.47200000000001
UMOD,14.0
AC093010.1,20.0
IER3,221.68400000000003
AMBRA1,553.499
AC090115.4,0.0
AC010132.4,108.0
SLC25A41,19.771
MAP1LC3BP1,12.0
STPG1,572.32
MIR877,1.0
FAM90A5P,0.0
XPO1,4981.494000000001
AC093326.2,4.0
AC073850.1,10.0
AC084024.2,34.0
AC078922.1,6.0
RNU6-1001P,0.0
GXYLT1P6,0.0
AC078841.1,2.0
HMGB1P50,0.0
AC007601.2,15.0
RN7SKP116,3.0
LYPLA2P3,3.0
GH1,2.0
KF456478.1,0.0
AF274854.1,0.0
LINC01023,6.0
LINC01768,1.0
DOLPP1,33.999
C8orf22,7.0
KIN,1107.6219999999998
RPL35P4,1.0
AC124242.2,76.833
LINC00601,8.0
CDK17,1678.0000000000002
AC018552.3,11.0
TMEM229A,3.0
AP001804.1,8.0
C10orf53,53.789
RGPD2,70.933
NEFHP1,7.138999999999999
ACTR1B,103.001
RPL23AP53,112.508
TCTN1,1399.5390000000002
TXK,403.288
DEFB105A,6.0
RDH11,324.604
LINC01746,0.0
AC007342.2,81.816
EFNA4,46.908
UBE2R2-AS1,105.0
ZNF480,1095.665
AP000889.1,2.0
AC113385.3,0.0
MTHFSD,220.99999999999997
AC068446.1,40.06
MIAT_exon1,0.0
AC091953.1,0.0
MYBL1,442.0010000000001
AC096537.1,0.0
RPL7P35,4.0
CCDC34P1,0.0
AC006450.3,9.299
AC131055.1,0.0
MTND2P16,2.0
AL117348.2,0.0
RCAN1,507.159
CHRNE,15.251
AC012078.1,4.0
GLYR1,880.481
RNU6-1236P,0.0
DNMT3A,1251.523
ZNF804B,10.0
MTCO3P2,2.0
AC099518.2,66.267
VCX2,0.0
BEGAIN,32.285
AL132801.1,67.889
AL139121.1,1.0
GOLGA8Q,4.339
C8orf76,235.63
AC011933.4,163.19299999999998
OR6N1,204.0
RNA5SP206,3.0
BCL2L1,16566.028
RPAP3,408.283
RNU7-111P,0.0
AL137002.1,1.0
RSL24D1P8,18.241
FAM3B,159.037
MIR8057,0.0
SLC26A7,25.0
SYT2,286.323
NKX2-4,5.0
RNU6-387P,5.0
SNORA14A,116.0
AL136304.1,9.068
RERG-IT1,0.0
MIR1269B,0.0
RFPL4B,4.66
AC099791.2,0.0
AC008406.2,2.0
CENPUP2,469.0
NUTM2D,115.912
SMIM15-AS1,9.378
AC040162.1,531.931
MRPS25,627.732
AL117378.2,46.213
MYO5BP2,13.2
MIR4673,2.0
BSPH1,0.0
IFNW1,83.0
AP002992.1,2.0
AC002525.1,70.0
LINC01166,19.0
AL354766.2,3.0
AC016395.1,2.0
AL137026.2,0.0
AF111169.4,14.556
AL122017.1,4.0
NUTM2A,22.445999999999998
AL583722.1,1.0
RN7SL442P,36.731
ZFY,483.6130000000001
OR7E159P,1.0
AC006013.1,10.044
AC084824.3,93.137
RNU6-537P,9.34
ARL4AP3,6.0
LINC01525,1.0
RGMB-AS1,6.0
HSP90AA2P,6.638
AC010435.1,7.907
PRELID2,222.72599999999997
FLOT1,769.9989999999999
HMGN5,35.795
AC009108.2,0.0
AC078785.2,17.866
PCBP3,259.96799999999996
AL160413.1,3.0
LINC00444,6.0
S100A10,197.0
RPL21P8,58.095
ATF4P4,4.248
MIR216A,0.0
AL592464.1,2.0
USP4,3941.8149999999996
AC078909.1,2.887
AL078601.2,2.0
DYRK1B,57.0
LAPTM5,6443.0
AC025431.1,7.0
SDR42E1,224.903
COPRS,23.0
AL670729.1,1.0
C17orf97,146.889
TMC8,605.4870000000001
LINC02356,19.0
AL449423.1,1.0
MRPS18B,362.166
AC055855.3,1.0
LINC00901,4.0
SNORD23,63.739
CADM3-AS1,7.0120000000000005
CATSPER2,510.98299999999995
LINC01447,213.766
RNA5SP362,0.0
AC113192.3,0.0
MPEG1,2063.1279999999997
NOS2P3,143.097
HNRNPM,907.693
AL445493.1,0.0
AC016757.1,12.000000000000002
AC009533.2,0.0
MIR513C,0.0
CYCSP49,0.0
METTL8P1,1.031
AL645944.2,59.336000000000006
OR4D6,4.0
FASLG,32.881
C12orf77,316.46299999999997
LINC00441,21.0
AP1G1,2810.663
TUSC5,7.0
ZNF90P1,149.515
AL355860.1,20.0
SNORA2C,707.0
AL133163.1,1.0
LINC01346,20.008
ARHGEF12,8155.353
AL080316.1,1.0
KCNB2,8.0
RNU6-991P,0.0
AC068137.2,0.0
AC104394.1,2.0
AC008780.1,1.0
AL021920.2,12.44
RAB44,118.0
MIR7113,0.0
AC012379.1,0.0
AL353597.1,8.0
AC244015.2,9.777000000000001
RNU6-1266P,2407.1929999999998
SPERT,2.0
AC090589.1,2.3169999999999997
AC124312.5,59.0
RSPH1,10.131
SAXO2,66.426
AHNAK,7104.999999999999
AC104984.3,123.72
RCBTB2,1409.474
APOPT1,446.106
AADAC,4.0
AC005083.1,3.0
AC090206.1,8.0
MIR3685,0.0
LINC00216,410.24300000000005
GSE1,456.0400000000001
ZNF587B,982.6959999999999
ZDHHC4,368.774
AP001267.1,172.263
ZNF519P1,5.0
AC105150.1,4.0
OSTCP8,13.0
METAP1,289.46799999999996
ADAMTS1,75.82000000000001
ILKAP,632.8810000000001
AC010132.2,0.0
TRNAU1AP,480.24699999999996
CIDECP,332.225
AC018653.3,90.838
RNMTL1P2,1.0
RN7SKP218,0.0
AF001548.1,49.17
AC130464.1,4.0
C1orf195,3.0
RNA5SP426,0.0
AL133480.1,11.0
AC148476.1,1.0
KCNMB2-AS1,35.585
GTSCR1,3.0
AL606490.1,3.0
SLC4A2,71.34700000000001
AC092634.6,0.0
AP001189.4,1.0
AL445490.2,1.0
COA6,58.0
AC134981.1,15.0
NCEH1,311.001
AL592287.1,26.288
OR13D1,2.0
LINC00243,365.874
IGKV1OR9-2,5.904
RNU6-75P,0.0
VN1R21P,2.3930000000000002
SLC25A30,842.7529999999999
AC004585.2,7.0
AL021937.3,0.0
AC087499.6,0.0
HRAS,11.999
SSR1,2623.678
XPC,437.206
MTND3P6,2.0
CYP2C61P,0.0
MIRLET7DHG,0.0
AC107385.1,5.0
AC010776.3,2.0
IFI27,195.50900000000001
AC073591.1,10.0
AC008474.1,11.0
MYL12BP1,3.4410000000000003
ZNF615,339.445
DAB1-AS1,58.027
AC055713.1,2446.68
AC093627.3,1.0
MOCS1P1,3.2030000000000003
MIR4472-2,11.0
SMIM11P1,1.0
KBTBD7,369.316
GAL3ST1,32.772999999999996
AL035422.1,4.0
MTND1P19,1.6840000000000002
RNU6-1038P,0.0
CDC37P2,0.0
MIR181A2HG,21.0
SNORD113-3,0.0
AC079600.3,1.0
ERRFI1,27.0
SFTPA2,11.629000000000001
MAB21L1,10.0
MIR139,0.0
RN7SL386P,9.399
GATA6,10.0
AL591222.2,3.0
AC107905.1,1.0
LINC02199,213.845
AC007485.2,66.0
AL807752.3,0.0
FIS1,674.154
FOXN3-AS1,34.0
HSPA8P7,3.0
PCDH8,15.0
RN7SL861P,21.573
AC006487.2,4.0
GAREM1,65.035
Z97192.2,933.96
AC009403.1,403.53599999999994
CYCSP29,4.452
HDHD3,91.932
FANCD2,687.554
AC010737.1,4.794
MIR5004,1.0
MTND3P8,1.0
CIC,144.0
TEX28,3.0
AC007336.2,5.0
CA8,87.99900000000001
SERF1A,176.297
DYRK2,872.0
SMPD5,4.708
ALG1L14P,1.0
G2E3,1048.4220000000003
C5AR1,5436.614
MIR3960,0.0
AL390240.1,1.0
RBBP8P1,419.0
GSTA4,76.065
THAP3,35.849999999999994
AC011487.4,3.0
HNRNPA3P8,3.008
AC092903.2,59.663000000000004
CD163,1086.572
AC080112.2,11.0
COPS9,119.00000000000001
GRPEL1,295.0
VSTM1,164.0
PTGER4P3,0.0
SPICE1,318.52200000000005
RNU6-28P,6.148
OTX2,15.0
RSAD2,443.322
RPL21P131,7.936
AL049873.1,1.064
AC245036.4,2.0
OR8R1P,8.0
NEK4P1,2.0
GCNT1P3,15.0
AC007622.1,5.0
PPP2R5B,162.26600000000002
NMD3P2,4.0
EPHA8,4.0
MIR3183,0.0
TNNI2,23.0
TM2D3,1698.1619999999998
SKP1P1,8.765
AC092118.1,113.79799999999999
RNA5SP505,0.0
RNU6-776P,1.0
AC106883.1,3.0
LINC01489,82.34299999999999
SRL,22.624000000000002
MAPK4,31.0
IFRD1,5072.9310000000005
RPL7AP26,7.02
OR5H14,264.86400000000003
AC015540.1,1.0
AC079776.3,1.001
RPL34P22,5.0
RN7SL292P,0.0
AC004253.2,0.0
AC091133.1,0.0
RN7SL860P,0.8240000000000001
OR8J2,9.0
RPA3,199.437
SLC19A2,249.99999999999997
Telomerase-vert,1427.723
AC073593.1,0.0
LINC01067,27.538
AP001528.3,114.39
AC006150.1,3.0
LINC00290,2.0
AL391516.1,71.46
CLCN7,172.335
C14orf39,16.328
AC010336.2,3.7760000000000002
NTF6A,1.5930000000000002
CCDC12,169.88800000000003
AP002336.2,156.069
CDK2AP2P2,1.195
AL354740.1,21.372
AC009690.1,29.013
ADAM24P,4.0
AP002518.2,9.0
RBMX,763.909
DYNLRB2,1.0
OR7D1P,1.0
snoMBII-202,1.0
SLBP,334.0
KRTAP5-7,2.0
LOXL3,145.99800000000002
FOXI2,13.0
AC092384.2,31.369
CU633980.1,39.213
AC010999.1,6.0
MTND4P17,2.0
MRPL3P1,1.104
AC027607.1,9.0
AC109479.3,2.0
RN7SL395P,84.375
AC012531.4,0.0
ATP2B2,36.0
AC005962.1,0.0
HOTTIP_2,3.322
CHN2,348.70900000000006
PHF7,194.616
AL354919.1,176.614
AL121658.1,82.23100000000001
MTND5P18,10.0
BHLHA15,5.0
AC078850.1,8.0
SCEL-AS1,1.0
AC007495.2,1.0
ZNF607,40.115
AC093783.1,62.0
S100B,53.214
MYL6BP1,57.0
FAM205A,30.837
PGAM1P9,0.0
ZNF217,4333.3330000000005
AL132711.1,2.0
TLK1,1706.049
AC022254.1,0.0
PPP1R11P1,0.0
OAZ2,5652.014
ANKRD30BP1,4.468999999999999
PGP,76.0
MFSD4B,1017.52
AC087439.2,0.0
RNASEH1-AS1,113.22999999999999
AC099799.1,1.0
AC020661.3,21.023000000000003
AC008443.5,27.021
CDYLP1,24.514
MBLAC2,116.0
SNORA20B,0.0
AC099786.2,5.0
RNU6-732P,0.0
AL008718.2,20.0
LTV1P1,7.0
SRGNP1,0.0
RBBP4P5,2.01
PARD6B,453.24399999999997
TNFRSF18,3.0
AC133634.1,7.0
HTR3E,10.0
MTND4LP17,1.0
PRX,16.043
TCP10L2,11.873
TRAJ8,1.0
SLF1,654.406
SOX2-OT,541.4019999999999
AC048382.3,0.0
AC010967.1,2.0
GCNT6,4.0
AC055717.3,1.0
CYSTM1,1105.641
AC018692.2,1.0
RPL23AP12,2.0
CETP,46.0
FAM9A,19.124000000000002
CAV3,6.0
OLIG3,13.0
HSPA8P3,28.0
C12orf42,54.0
RNU4-40P,26.0
CYP1A1,7.0
RNU6-1155P,1.0
AL357084.1,1.001
AC004852.2,114.0
AL357497.1,44.245
RPS13P2,19.757
H2AFJ,187.999
AC098859.2,3.0
GPR160,923.472
RPS6KL1,456.08
AL157902.1,5.0
AC024601.1,2.0
AC107983.1,4.505
WDR44,315.999
AL355312.1,0.0
AC026401.3,536.0
OR6C69P,5.0
AC119800.1,31.0
TAS1R1,6.0
STARD13,28.0
RHBDL1,7.0
TMEM209,467.415
AC010884.1,0.0
OR11H3P,1.0
RN7SKP277,0.0
RNU6-731P,7.0
AC123904.2,1.0
AC022784.3,7.042999999999999
OR10J6P,2.0
AL137246.2,2.0
AC100832.1,2.0
DEFB131D,0.0
RBFOX1,79.594
AC124017.1,78.622
METRN,43.499
WASIR2,109.75
NOP58,297.11899999999997
ANAPC16,1502.595
RNU6-99P,0.0
AC135048.1,67.952
ITGB2,2983.9990000000003
AL590867.3,4.0
RNA5SP205,0.0
TTTY17A,0.0
AL450992.3,0.0
AC016734.1,2.844
AC062039.1,2.0
LINC00628,6.0
URB2,164.0
FANCC,198.506
RN7SKP127,7.0
CR769776.2,3.6010000000000004
ASIP,2.0
MTND2P25,3.0
COL4A6,19.0
TMEM184C,628.129
AP006547.1,0.0
VENTXP7,1.0
AUP1,530.4490000000001
AL513328.1,1.0
S100PBP,2907.178
ANKRD20A10P,9.0
RPS29P5,20.438
AC009554.1,8.0
WDR63,23.0
ANKS1A,336.0
HADHB,1292.687
AL136967.2,1.0
AC090453.1,2.004
RWDD2B,180.459
TMEM256P2,0.0
RNU6-689P,0.0
AL356017.1,63.879
MIR539,0.0
OR5B3,2.0
AC120114.5,2.3680000000000003
FRG2EP,0.0
ITLN2,2.051
AP003128.1,4.0
DLG2-AS1_1,1.0
AL365205.3,2.0
NDUFS5P6,0.0
RASA4CP,142.12
AL353997.3,0.0
AC012507.1,0.0
AC091231.1,73.26899999999999
BTBD16,18.0
GPR37L1,269.282
AC239859.5,5.039
AP000640.2,171.214
AC112487.2,1.0
MT-CO1,8221.253
FLVCR1-AS1,245.062
HMGB3P21,44.0
RPF1,129.542
AC105029.1,4.0
RPS3P7,13.0
CTAGE1,26.818
EFR3B,262.24399999999997
AL359511.1,2.158
HMGB1P6,1.7730000000000001
HOXA11-AS1_4,0.8809999999999999
KANK1,377.80499999999995
FAM74A7,0.0
UCN3,13.009
OTUD7A,120.691
LILRA1,1094.2669999999998
POLR2CP1,1.0
AC133041.1,1.0
SNRPGP9,5.166
AC106875.1,4.0
ZNF559,348.87199999999996
SLC4A8,960.1840000000001
DRD4,45.32000000000001
SMIM21,15.0
NFAM1,2621.982
PGBD4,789.427
DPY19L1,441.41700000000003
OR2A14,14.0
AC098583.2,3.266
BVES,188.242
AC127522.1,19.343
GJB6,27.0
LRRC30,0.0
PIGPP4,2.0
AC110794.1,4.0
PBX3,217.0
ATP5A1P2,0.0
AC021106.1,187.0
KLHL8,1232.5120000000002
AC025674.1,1.0
AL035078.3,1.0
FAM198B,1039.483
HBE1,69.016
HIGD1AP1,0.0
CREG2,284.93
MIR3182,0.0
CCR9,19.0
AC245427.6,2.0
AP001257.1,10.0
EFS,10.0
RPL21P75,0.0
AL049835.1,9.209
NIPSNAP3B,46.528
AC007375.2,0.0
SLC35A1,418.87800000000004
AC114730.3,5.374
ABCG4,17.0
MIR25,7.0
HSD3BP4,3.6839999999999997
RN7SL128P,1111.826
AC003669.1,2.0
PLEKHG2,580.615
AC025265.1,30.0
AC110275.1,0.0
SLF2,641.9120000000001
GPHN,73.65200000000002
PRR13P4,3.0
AL583856.2,10.0
DDR1,43.0
PRNT,11.0
RNF126P1,3.0
FTH1P10,3.466
IL33,119.39299999999999
AC097721.1,38.059
AC095059.2,1.0
DMBX1,55.868
MIR4435-2,0.0
AL024509.3,11.964
AL121872.1,9.593
ZNF487,612.861
GUSBP2,230.37199999999999
RN7SL35P,8.0
AL670379.12,0.0
TMEM41B,1518.602
RCN1P1,3.0
RSPH9,49.256
AC004233.3,244.292
AC108019.1,1.0
ADH5P2,4.031000000000001
HHIP-AS1,3.0
AC235565.1,0.0
CYP4Z1,9.231
PTMAP4,0.0
AK4,153.199
PCOLCE2,64.385
AC007160.1,4.0
NR3C2,96.00000000000001
AC009262.1,4.0
SLC41A3,164.04799999999997
RNU7-130P,0.0
AL157709.1,1.0
RNU6-88P,36.0
AJ003147.2,0.0
AC073320.1,253.702
SHBG,26.0
FAM92B,83.10799999999999
ASPM,187.0
BMS1P17,87.053
LINC02052,11.0
AC106774.6,20.844
RNA5SP92,0.0
LINC01072,2.0
SEMA4C,335.591
AC090283.1,1.0
AC090099.2,2.0
RNU6-336P,1.0
RNU6-1068P,0.0
BOLA2P1,0.0
FP236240.4,9.0
XACT,0.0
LINC01476,6.0
AC090164.1,1.0
NF1P8,10.183
AC108750.1,26.999000000000002
P4HA3,59.376999999999995
NECAP1,2223.335
MTND3P25,5.0
PAPOLB,7.0
SMG1P4,532.428
RPS17P17,2.0
OR2X1P,3.0
RNU6-1308P,0.0
ANKRD49,310.068
MIR5187,6.0
NPFF,0.0
SERPINA11,16.0
AC245369.8,1.075
AC092546.1,3.0
SOX5,121.052
USP8,4366.418
AL136298.2,20.0
AC091810.1,0.0
CCDC172,9.0
MIR606,17.0
AL354824.2,6.0
AC007333.1,5.0
AC245884.2,22.0
AL139390.1,22.988000000000003
AC104663.1,8.0
MOGAT3,473.29699999999997
CCDC141,172.055
AC122688.2,1.0
GNAS-AS1,189.06099999999998
RSF1-IT1,72.27
AC105046.1,25.0
AC018761.2,260.473
MAGI2,584.317
NELFB,41.0
AC139491.5,2.108
IGHD2OR15-2A,0.0
RPL4P3,1.026
HIST1H3I,643.0
AC019163.1,3.412
AL359672.1,0.0
AL137022.1,1.0
AC231657.2,2.0
MIR1180,0.0
USP9YP4,14.78
NBPF14,2709.422
USP21,228.0
LINC01450,10.0
AC087878.1,1.0
RBPMS2,9.0
TASP1,107.999
AC012653.2,9.738999999999999
TMEM263,285.10900000000004
ZNF224,1249.0990000000002
ASS1P7,1.0
AF246928.1,0.0
RNU7-115P,3.0
MTND1P18,4.0
OR7C1,816.6719999999999
SLC1A4,319.061
PTTG1,66.27799999999999
SNORD114-19,0.0
MVP,2032.5120000000002
AP005242.1,11.026
PRAMEF28P,0.0
METTL2A,349.729
TGFA-IT1,10.0
AL109910.2,3.4760000000000004
MIR149,0.0
UPK3A,2.0
DARS2,135.0
MTCYBP33,10.0
APOBEC2,35.0
AP002353.1,5.483
RNU6-1330P,1.7480000000000002
IFNL4,2.0
AC022447.1,0.0
AC012038.2,0.0
AC025884.2,1.0
ETV7,23.0
AC009303.2,159.0
TCF4-AS1,3.0
AC145207.4,0.0
FKBP3,212.095
TAAR1,3.0
AP006587.2,3.687
AC069503.2,23.238
AC018521.2,47.763000000000005
ANO7L1,16.0
FTH1P26,0.0
AC068724.2,4.23
AL163973.1,0.0
OR4B1,2.0
CLEC18B,30.217000000000002
Six3os1_7,0.0
RPL35AP31,57.0
